id,name,identifier,generation_id,is_main_series
1,Stench,stench,3,true
2,Drizzle,drizzle,3,true
3,Speed Boost,speed-boost,3,true
4,Battle Armor,battle-armor,3,true
5,Sturdy,sturdy,3,true
6,Damp,damp,3,true
7,Limber,limber,3,true
8,Sand Veil,sand-veil,3,true
9,Static,static,3,true
10,Volt Absorb,volt-absorb,3,true
11,Water Absorb,water-absorb,3,true
12,Oblivious,oblivious,3,true
13,Cloud Nine,cloud-nine,3,true
14,Compound Eyes,compound-eyes,3,true
15,Insomnia,insomnia,3,true
16,Color Change,color-change,3,true
17,Immunity,immunity,3,true
18,Flash Fire,flash-fire,3,true
19,Shield Dust,shield-dust,3,true
20,Own Tempo,own-tempo,3,true
21,Suction Cups,suction-cups,3,true
22,Intimidate,intimidate,3,true
23,Shadow Tag,shadow-tag,3,true
24,Rough Skin,rough-skin,3,true
25,Wonder Guard,wonder-guard,3,true
26,Levitate,levitate,3,true
27,Effect Spore,effect-spore,3,true
28,Synchronize,synchronize,3,true
29,Clear Body,clear-body,3,true
30,Natural Cure,natural-cure,3,true
31,Lightning Rod,lightning-rod,3,true
32,Serene Grace,serene-grace,3,true
33,Swift Swim,swift-swim,3,true
34,Chlorophyll,chlorophyll,3,true
35,Illuminate,illuminate,3,true
36,Trace,trace,3,true
37,Huge Power,huge-power,3,true
38,Poison Point,poison-point,3,true
39,Inner Focus,inner-focus,3,true
40,Magma Armor,magma-armor,3,true
41,Water Veil,water-veil,3,true
42,Magnet Pull,magnet-pull,3,true
43,Soundproof,soundproof,3,true
44,Rain Dish,rain-dish,3,true
45,Sand Stream,sand-stream,3,true
46,Pressure,pressure,3,true
47,Thick Fat,thick-fat,3,true
48,Early Bird,early-bird,3,true
49,Flame Body,flame-body,3,true
50,Run Away,run-away,3,true
51,Keen Eye,keen-eye,3,true
52,Hyper Cutter,hyper-cutter,3,true
53,Pickup,pickup,3,true
54,Truant,truant,3,true
55,Hustle,hustle,3,true
56,Cute Charm,cute-charm,3,true
57,Plus,plus,3,true
58,Minus,minus,3,true
59,Forecast,forecast,3,true
60,Sticky Hold,sticky-hold,3,true
61,Shed Skin,shed-skin,3,true
62,Guts,guts,3,true
63,Marvel Scale,marvel-scale,3,true
64,Liquid Ooze,liquid-ooze,3,true
65,Overgrow,overgrow,3,true
66,Blaze,blaze,3,true
67,Torrent,torrent,3,true
68,Swarm,swarm,3,true
69,Rock Head,rock-head,3,true
70,Drought,drought,3,true
71,Arena Trap,arena-trap,3,true
72,Vital Spirit,vital-spirit,3,true
73,White Smoke,white-smoke,3,true
74,Pure Power,pure-power,3,true
75,Shell Armor,shell-armor,3,true
76,Air Lock,air-lock,3,true
77,Tangled Feet,tangled-feet,4,true
78,Motor Drive,motor-drive,4,true
79,Rivalry,rivalry,4,true
80,Steadfast,steadfast,4,true
81,Snow Cloak,snow-cloak,4,true
82,Gluttony,gluttony,4,true
83,Anger Point,anger-point,4,true
84,Unburden,unburden,4,true
85,Heatproof,heatproof,4,true
86,Simple,simple,4,true
87,Dry Skin,dry-skin,4,true
88,Download,download,4,true
