ability_id,ability_short_effect_markup,ability_short_effect_html
1,Has a 10% chance of making target Pokémon {flinch;STATUS;flinch} with each hit.,"Has a 10% chance of making target Pokémon <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinch</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a> with each hit."
2,Summons {rain;WEATHER;RAIN} that lasts indefinitely upon entering battle.,"Summons <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> that lasts indefinitely upon entering battle."
3,Raises {Speed;STAT;SPEED} one stage after each turn.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage after each turn."
4,Protects against {critical hits;STAT;CRIT}.,"Protects against <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hits</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
5,"Prevents being KOed from full {HP;STAT;HP}, leaving 1 HP instead. Protects against the one-hit KO moves regardless of {HP;STAT;HP}.","Prevents being KOed from full <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, leaving 1 HP instead. Protects against the one-hit KO moves regardless of <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
6,"Prevents {Self Destruct;MOVE;self-destruct}, {Explosion;MOVE;explosion}, and {Aftermath;ABILITY;aftermath} from working while the Pokémon is in battle.","Prevents <a href=""/moves/self-destruct"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Self Destruct</span></a>, <a href=""/moves/explosion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Explosion</span></a>, and <a href=""/abilities/aftermath"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aftermath</span></a> from working while the Pokémon is in battle."
7,Prevents {paralysis;STATUS;paralysis}.,"Prevents <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralysis</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a>."
8,Increases {evasion;STAT;EVASION} to 1.25x during a {sandstorm;WEATHER;SANDSTORM}. Protects against sandstorm damage.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.25x during a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sandstorm</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_sandstorm_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>. Protects against sandstorm damage."
9,Has a 30% chance of {paralyzing;STATUS;paralysis} attacking Pokémon on contact.,"Has a 30% chance of <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralyzing</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a> attacking Pokémon on contact."
10,"Absorbs {ELECTRIC;TYPE;Electric} moves, healing for <span style=""font-size: 1.3rem"">¼</span> max {HP;STAT;HP}.","Absorbs <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span> moves, healing for <span style=""font-size: 1.3rem"">¼</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
11,"Absorbs {WATER;TYPE;Water} moves, healing for <span style=""font-size: 1.3rem"">¼</span> max {HP;STAT;HP}.","Absorbs <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span> moves, healing for <span style=""font-size: 1.3rem"">¼</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
12,Prevents {infatuation;STATUS;-} and protects against {Captivate;MOVE;captivate}.,"Prevents <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>infatuation</span></a> and protects against <a href=""/moves/captivate"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Captivate</span></a>."
13,"Negates all effects of {weather;WEATHER;WEATHER}, but does not prevent the weather itself.","Negates all effects of <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, but does not prevent the weather itself."
14,Increases moves' {accuracy;STAT;ACCURACY} to 1.3x.,"Increases moves' <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">accuracy</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_accuracy.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.3x."
