item_identifier,version_identifier,item_acquisition_type_identifier,item_acquisition_subtype_identifier,location_area_identifier,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,pokemon_currency_identifier,required_badge,unlock_condition,notes
ability-capsule,x,exchange,,battle-maison,,true,false,true,,,200,battle-points,,,
ability-patch,brilliant-diamond,exchange,,battle-park-sinnoh,,true,false,true,,,200,battle-points,,,
ability-patch,scarlet,tera-raid,tera-raid-6star,,,true,false,false,,,,,,,
ability-patch,shield,max-lair,dynite-ore-trader,,,true,false,true,,,,dynite-ore,,,
ability-patch,shining-pearl,exchange,,battle-park-sinnoh,,true,false,true,,,200,battle-points,,,
ability-patch,sword,max-lair,reward,,After catching and keeping Necrozma from a Dynamax Adventure,false,false,true,,,,,,,
ability-patch,violet,tera-raid,tera-raid-7star,,,true,false,false,,,,,,,
ability-shield,scarlet,shop,specialty-shop,mesagoza,Delibird Presents (Mesagoza Branch),true,false,true,,,20000,pokedollars,,,
ability-shield,violet,shop,specialty-shop,mesagoza,Delibird Presents (Mesagoza Branch),true,false,true,,,20000,pokedollars,,,
abomasite,alpha-sapphire,story,,hoenn-route-123,After defeating or capturing Kyogre,false,false,true,,,,,,,
abomasite,legends-za,shop,specialty-shop,stone-emporium,Stone Emporium,false,false,true,,,50000,pokedollars,,"After completing Main Mission 09: ""Chase That Mysterious Pokémon!""",
abomasite,omega-ruby,story,,hoenn-route-123,After defeating or capturing Groudon,false,false,true,,,,,,,
abomasite,ultra-moon,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
abomasite,ultra-sun,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
abomasite,x,story,,frost-cavern,From Abomasnow after defeating Team Flare,false,false,true,,,,,,,
abomasite,y,story,,frost-cavern,From Abomasnow after defeating Team Flare,false,false,true,,,,,,,
absolite,alpha-sapphire,overworld,visible,safari-zone-hoenn,Requires Acro Bike,false,false,true,,,,,,,
absolite,legends-za,story,,,Defeat the Rogue Mega Absol in Main Mission 09,false,false,true,,,,,,Main Mission 09: Chase That Mysterious Pokémon!,
absolite,moon,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
absolite,omega-ruby,overworld,visible,safari-zone-hoenn,Requires Acro Bike,false,false,true,,,,,,,
absolite,sun,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
absolite,ultra-moon,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
absolite,ultra-sun,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
absolite,x,npc-gift,,kiloude-city,From Calem/Serena after defeating them,false,false,true,,,,,,After defeating Calem/Serena,
absolite,y,npc-gift,,kiloude-city,From Calem/Serena after defeating them,false,false,true,,,,,,After defeating Calem/Serena,
absolite-z,legends-za,story,,,"Hyperspace Mission 01: ""Hyperspace Lumiose Survey No. 1""",false,false,true,,,,,,Obtained upon defeating and catching the Rogue Mega Absol Z,
absorb-bulb,black,exchange,,battle-subway,,true,false,true,,,32,battle-points,,,
academy-ball,scarlet,story,,mesagoza,,false,false,true,,,,,,Automatically obtained after beginning the Treasure Hunt,
academy-ball,violet,story,,mesagoza,,false,false,true,,,,,,Automatically obtained after beginning the Treasure Hunt,
academy-bottle,scarlet,story,,mesagoza,Automatically obtained after beginning the Treasure Hunt,false,false,true,,,,,,After beginning the Treasure Hunt,
academy-bottle,violet,story,,mesagoza,Automatically obtained after beginning the Treasure Hunt,false,false,true,,,,,,After beginning the Treasure Hunt,
academy-chairs,scarlet,npc-gift,,revelers-road,From a picnicker,false,false,true,,,,,,If the player owns the Academy Tablecloth,
academy-chairs,violet,npc-gift,,revelers-road,From a picnicker,false,false,true,,,,,,If the player owns the Academy Tablecloth,
academy-cup,scarlet,story,,mesagoza,Automatically obtained after beginning the Treasure Hunt,false,false,true,,,,,,After beginning the Treasure Hunt,
academy-cup,violet,story,,mesagoza,Automatically obtained after beginning the Treasure Hunt,false,false,true,,,,,,After beginning the Treasure Hunt,
academy-tablecloth,scarlet,story,,mesagoza,Automatically obtained after beginning the Treasure Hunt,false,false,true,,,,,,After beginning the Treasure Hunt,
academy-tablecloth,violet,story,,mesagoza,Automatically obtained after beginning the Treasure Hunt,false,false,true,,,,,,After beginning the Treasure Hunt,
acro-bike,alpha-sapphire,choice,,rydels-cycles,Choice between Acro Bike and Mach Bike; both obtainable after specific NPC interactions,true,false,true,,,,,,After speaking to required NPCs in Hoenn,
acro-bike,emerald,choice,,rydels-cycles,Choice between Acro Bike and Mach Bike,true,false,true,,,,,,,
acro-bike,omega-ruby,choice,,rydels-cycles,Choice between Acro Bike and Mach Bike; both obtainable after specific NPC interactions,true,false,true,,,,,,After speaking to required NPCs in Hoenn,
acro-bike,ruby,choice,,rydels-cycles,Choice between Acro Bike and Mach Bike,true,false,true,,,,,,,
acro-bike,sapphire,choice,,rydels-cycles,Choice between Acro Bike and Mach Bike,true,false,true,,,,,,,
adamant-crystal,legends-arceus,request,,lake-valor-hisui,"Reward for defeating Adaman to complete Request 89: ""The Diamond Clan's Treasure""",false,false,true,,,,,,,
adamant-crystal,scarlet,auction,,porto-marinada,Porto Marinada auction,true,false,false,,,,,,If the player owns a Dialga,
adamant-crystal,violet,auction,,porto-marinada,Porto Marinada auction,true,false,false,,,,,,If the player owns a Dialga,
adamant-mint,shield,exchange,,,Battle Tower,true,false,true,,,50,battle-points,,,
adamant-mint,sword,exchange,,,Battle Tower,true,false,true,,,50,battle-points,,,
adamant-orb,black,npc-gift,,marvelous-bridge,Given by the Shadow Triad,false,false,true,,,,,,,
adamant-orb,black-2,overworld,visible,dragonspiral-tower,,false,false,true,,,,,,,
adamant-orb,brilliant-diamond,overworld,visible,spear-pillar,,false,false,true,,,,,,,
adamant-orb,diamond,overworld,visible,spear-pillar,,false,false,true,,,,,,,
adamant-orb,heartgold,wild-pokemon,,sinjoh-ruins,Held by Dialga,false,false,true,,,,,,,
adamant-orb,omega-ruby,overworld,visible,hoenn-route-128,Underwater,false,false,true,,,,,,,
adamant-orb,platinum,overworld,visible,mount-coronet,,false,false,true,,,,,,,
adamant-orb,scarlet,auction,,porto-marinada,Auction,false,false,true,,,,,,If the player owns a Dialga,
adamant-orb,sun,shop,specialty-shop,hauoli-city,"Antiquities of the Ages, Hau'oli City Mall",false,false,true,,,,,,,
adamant-orb,sword,bargain-shop,,stow-on-side,Bargain shop keeper,false,false,true,,,,,,If the player owns a Dialga,
adamant-orb,x,overworld,visible,terminus-cave,,false,false,true,,,,,,,
adrenaline-orb,moon,shop,poke-mart,,All Poké Marts,true,false,true,,,300,pokedollars,,After completing three trials,
adrenaline-orb,scarlet,shop,specialty-shop,levincia,Delibird Presents,true,false,true,,,5000,pokedollars,,After earning 4 Gym Badges,
adrenaline-orb,sun,overworld,visible,alola-route-04,,false,false,true,,,,,,,
adrenaline-orb,sword,exchange,,battle-tower-galar,,true,false,true,,,10,battle-points,,,
