item_identifier,fling_power,fling_effect
ability-capsule,0,Fails
ability-patch,0,Fails
ability-shield,30,
abomasite,80,
absolite,80,
absorb-bulb,30,
adamant-mint,10,
adamant-orb,60,
adrenaline-orb,30,
aerodactylite,80,
aggronite,80,
aguav-berry,10,Restores HP to the target and may cause confusion depending on generation.
air-balloon,10,
alakazite,80,
altarianite,80,
amaze-mulch,30,
ampharosite,80,
amulet-coin,30,
antidote,30,
apicot-berry,10,Raises the target’s Special Defense by one stage
armor-fossil,100,
armorite-ore,30,
aspear-berry,10,Cures frozen status
assault-vest,80,
audinite,80,
auspicious-armor,30,
awakening,30,
babiri-berry,10,
bachs-food-tin,80,
balm-mushroom,30,
banettite,80,
beedrillite,80,
belue-berry,10,
berry-juice,30,
berry-sweet,10,
big-bamboo-shoot,30,
big-malasada,30,
big-mushroom,30,
big-nugget,30,
big-pearl,30,
big-root,10,
binding-band,30,
black-belt,30,
black-flute,30,
black-glasses,30,
black-sludge,30,
blastoisinite,80,
blazikenite,80,
bloom-mail,0,Fails
blue-flute,30,
blue-scarf,10,
blue-shard,30,
bluk-berry,10,
blunder-policy,80,
bobs-food-tin,80,
boiled-egg,20,
bold-mint,10,
boost-mulch,30,
booster-energy,30,
bottle-cap,30,
brave-mint,10,
bread,10,
brick-mail,0,Fails
bright-powder,10,
brittle-bones,30,
bug-gem,0,Fling fails
bug-memory,50,
bug-tera-shard,30,
burn-drive,70,
burn-heal,30,
calcium,30,
calm-mint,10,
cameruptite,80,
carbos,30,
careful-mint,10,
casteliacone,30,
cell-battery,30,
charcoal,30,
charizardite-x,80,
charizardite-y,80,
charti-berry,10,
cheri-berry,10,Cures paralysis
chesto-berry,10,Cures sleep
chilan-berry,10,
chill-drive,70,
chipped-pot,80,
choice-band,10,
choice-scarf,10,
choice-specs,10,
chople-berry,10,
claw-fossil,100,
cleanse-tag,30,
clear-amulet,30,
clever-feather,20,
clover-sweet,10,
coba-berry,10,
coconut-milk,10,
colbur-berry,10,
comet-shard,30,
cornerstone-mask,60,
cornn-berry,10,
cover-fossil,100,
covert-cloak,30,
cracked-pot,80,
custap-berry,10,
