item_identifier,version_identifier,price_type,amount,pokemon_currency_identifier,notes
ability-capsule,brilliant-diamond-shining-pearl,sell,5000,pokedollars,
ability-capsule,omega-ruby-alpha-sapphire,sell,500,pokedollars,
ability-capsule,scarlet-violet,sell,25000,pokedollars,
ability-capsule,scarlet-violet,buy,100000,pokedollars,
ability-capsule,sun-moon,sell,5000,pokedollars,
ability-capsule,sword-shield,sell,5000,pokedollars,
ability-capsule,ultra-sun-ultra-moon,sell,5000,pokedollars,
ability-capsule,x-y,sell,500,pokedollars,
ability-patch,scarlet-violet,sell,125000,pokedollars,
ability-patch,sword-shield,sell,10,pokedollars,
ability-shield,scarlet-violet,buy,20000,pokedollars,
ability-shield,scarlet-violet,sell,5000,pokedollars,
abomasite,legends-za,buy,50000,pokedollars,
absorb-bulb,black-white,sell,100,pokedollars,
absorb-bulb,omega-ruby-alpha-sapphire,sell,100,pokedollars,
absorb-bulb,scarlet-violet,sell,1250,pokedollars,
absorb-bulb,scarlet-violet,buy,5000,pokedollars,
absorb-bulb,sun-moon,sell,2000,pokedollars,
absorb-bulb,sword-shield,sell,2000,pokedollars,
absorb-bulb,ultra-sun-ultra-moon,sell,2000,pokedollars,
absorb-bulb,x-y,sell,100,pokedollars,
adamant-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
adamant-mint,legends-arceus,sell,500,pokedollars,
adamant-mint,scarlet-violet,buy,20000,pokedollars,
adamant-mint,scarlet-violet,sell,5000,pokedollars,
adamant-mint,sword-shield,sell,10,pokedollars,
adamant-orb,black-2-white-2,sell,5000,pokedollars,
adamant-orb,black-white,sell,5000,pokedollars,
adamant-orb,brilliant-diamond-shining-pearl,sell,5000,pokedollars,
adamant-orb,diamond-pearl,sell,5000,pokedollars,
adamant-orb,heartgold-soulsilver,sell,5000,pokedollars,
adamant-orb,omega-ruby-alpha-sapphire,sell,5000,pokedollars,
adamant-orb,platinum,sell,5000,pokedollars,
adamant-orb,sun-moon,buy,10000,pokedollars,
adamant-orb,sword-shield,sell,5000,pokedollars,
adamant-orb,ultra-sun-ultra-moon,buy,10000,pokedollars,
adamant-orb,x-y,sell,5000,pokedollars,
adrenaline-orb,scarlet-violet,sell,1250,pokedollars,
adrenaline-orb,scarlet-violet,buy,5000,pokedollars,
adrenaline-orb,sun-moon,buy,300,pokedollars,
adrenaline-orb,sun-moon,sell,150,pokedollars,
adrenaline-orb,sword-shield,sell,2000,pokedollars,Not purchasable
aerodactylite,lets-go-pikachu-lets-go-eevee,buy,30000,pokedollars,
aguav-berry,legends-arceus,sell,150,pokedollars,
aguav-berry,red-blue,sell,10,pokedollars,
aguav-berry,scarlet-violet,sell,20,pokedollars,
aguav-berry,sword-shield,sell,40,pokedollars,
aguav-berry,yellow,sell,10,pokedollars,
air-balloon,black-white,sell,100,pokedollars,
air-balloon,omega-ruby-alpha-sapphire,sell,100,pokedollars,
air-balloon,scarlet-violet,sell,3750,pokedollars,
air-balloon,scarlet-violet,buy,15000,pokedollars,
air-balloon,sun-moon,sell,2000,pokedollars,
air-balloon,sword-shield,sell,2000,pokedollars,
air-balloon,ultra-sun-ultra-moon,sell,2000,pokedollars,
air-balloon,x-y,sell,100,pokedollars,
air-mail,diamond-pearl,buy,50,pokedollars,
air-mail,diamond-pearl,sell,25,pokedollars,
air-mail,heartgold-soulsilver,buy,50,pokedollars,
air-mail,heartgold-soulsilver,sell,25,pokedollars,
alakazite,lets-go-pikachu-lets-go-eevee,buy,30000,pokedollars,
amaze-mulch,omega-ruby-alpha-sapphire,sell,100,pokedollars,
amaze-mulch,sun-moon,sell,100,pokedollars,
amaze-mulch,ultra-sun-ultra-moon,sell,100,pokedollars,
amaze-mulch,x-y,sell,100,pokedollars,
amulet-coin,crystal,sell,50,pokedollars,
amulet-coin,gold-silver,sell,50,pokedollars,
amulet-coin,scarlet-violet,sell,7500,pokedollars,
amulet-coin,sun-moon,sell,5000,pokedollars,
amulet-coin,ultra-sun-ultra-moon,sell,5000,pokedollars,
antidote,legends-za,sell,25,pokedollars,
antidote,legends-za,buy,100,pokedollars,
antidote,lets-go-pikachu-lets-go-eevee,sell,100,pokedollars,
antidote,lets-go-pikachu-lets-go-eevee,buy,200,pokedollars,
antidote,red-blue,buy,100,pokedollars,
antidote,red-blue,sell,50,pokedollars,
antidote,scarlet-violet,buy,200,pokedollars,
antidote,scarlet-violet,sell,50,pokedollars,
antidote,sun-moon,sell,100,pokedollars,
antidote,sun-moon,buy,200,pokedollars,
antidote,sword-shield,buy,200,pokedollars,
antidote,sword-shield,sell,100,pokedollars,
antidote,ultra-sun-ultra-moon,buy,200,pokedollars,
antidote,ultra-sun-ultra-moon,sell,100,pokedollars,
antidote,yellow,sell,50,pokedollars,
antidote,yellow,buy,100,pokedollars,
apicot-berry,black-white,sell,10,pokedollars,
apicot-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
apicot-berry,diamond-pearl,sell,10,pokedollars,
apicot-berry,ruby-sapphire,sell,10,pokedollars,
apicot-berry,scarlet-violet,sell,20,pokedollars,
apicot-berry,sun-moon,sell,10,pokedollars,
apicot-berry,sword-shield,sell,40,pokedollars,
apicot-berry,x-y,sell,10,pokedollars,
apple,scarlet-violet,buy,130,pokedollars,
