item_identifier,image_path,image_path_small,version_identifier
ability-capsule,https://cdn.pokedb.org/8d843ab23d1f397f553022af67a1c3590997c537a1842a8c3957cd445a59edd8,https://cdn.pokedb.org/8d843ab23d1f397f553022af67a1c3590997c537a1842a8c3957cd445a59edd8w20h20,x-y
ability-capsule,https://cdn.pokedb.org/eebc2f6908577f70b601565497e7b0cb77753e2adc4f422e8e251caf614cbc2f,https://cdn.pokedb.org/eebc2f6908577f70b601565497e7b0cb77753e2adc4f422e8e251caf614cbc2fw20h20,scarlet-violet
ability-capsule,https://cdn.pokedb.org/c2efc8e75aaa779c2345734aa74fba3dedb27e544684e4f0377838f8a39edf94,https://cdn.pokedb.org/c2efc8e75aaa779c2345734aa74fba3dedb27e544684e4f0377838f8a39edf94w20h20,brilliant-diamond-shining-pearl
ability-patch,https://cdn.pokedb.org/5d99676c7833f34831620ed2e99b2fd7267573a6b3c049dd4f9a9b2d4037aa90,https://cdn.pokedb.org/5d99676c7833f34831620ed2e99b2fd7267573a6b3c049dd4f9a9b2d4037aa90w20h20,sword-shield
ability-patch,https://cdn.pokedb.org/5199e1a20f6c3b9fa99e0e9a74ff9927cf79fe68c71dfa62fe9f9ec2db92cfc8,https://cdn.pokedb.org/5199e1a20f6c3b9fa99e0e9a74ff9927cf79fe68c71dfa62fe9f9ec2db92cfc8w20h20,brilliant-diamond-shining-pearl
ability-patch,https://cdn.pokedb.org/c07882d1659d44dd9dc50545b4e550835c5ec8651153bb6ac70744c8ccc60ce0,https://cdn.pokedb.org/c07882d1659d44dd9dc50545b4e550835c5ec8651153bb6ac70744c8ccc60ce0w20h20,scarlet-violet
ability-shield,https://cdn.pokedb.org/31202ff6999139da75ebe3965c6eeba65b9620a210db7d2aaf914ba826e57ac4,https://cdn.pokedb.org/31202ff6999139da75ebe3965c6eeba65b9620a210db7d2aaf914ba826e57ac4w20h20,scarlet-violet
ability-urge,https://cdn.pokedb.org/b0688d70a305d204e0b1c7c04795724f7dbd8841fcb9541ce8243b88e7249520,https://cdn.pokedb.org/b0688d70a305d204e0b1c7c04795724f7dbd8841fcb9541ce8243b88e7249520w20h20,black-white
abomasite,https://cdn.pokedb.org/caa14acc66fbb9b6201f7cdce5d72a6f2e5bd758f88a6c9a72616398eb0ffb1e,https://cdn.pokedb.org/caa14acc66fbb9b6201f7cdce5d72a6f2e5bd758f88a6c9a72616398eb0ffb1ew20h20,x-y
abra-candy,https://cdn.pokedb.org/21e279b4f65dc8c7053dec6ce58f04d4bf00354c66596c0d830dedb50c01b7a5,https://cdn.pokedb.org/21e279b4f65dc8c7053dec6ce58f04d4bf00354c66596c0d830dedb50c01b7a5w20h20,go
absolite,https://cdn.pokedb.org/55e3e0033d966fe0e2957e690bff01f026187196d4402347370b94def4937909,https://cdn.pokedb.org/55e3e0033d966fe0e2957e690bff01f026187196d4402347370b94def4937909w20h20,x-y
absorb-bulb,https://cdn.pokedb.org/913e8f5b90bac0967a062a4d65046ad326f853aa15e18994cb59fe6035717b38,https://cdn.pokedb.org/913e8f5b90bac0967a062a4d65046ad326f853aa15e18994cb59fe6035717b38w20h20,black-white
absorb-bulb,https://cdn.pokedb.org/c6acc19df0943dfdd5654ff9489d333928f41e6f4868aaf25701656bf9dc2155,https://cdn.pokedb.org/c6acc19df0943dfdd5654ff9489d333928f41e6f4868aaf25701656bf9dc2155w20h20,scarlet-violet
academy-ball,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,scarlet-violet
academy-bottle,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,scarlet-violet
