identifier,name,default_item_sprite,default_item_sprite_small,item_category_identifier,introduced_in_generation_id,is_consumable,is_holdable,is_field_usable,description,notes,is_battle_usable
ability-capsule,Ability Capsule,https://cdn.pokedb.org/eebc2f6908577f70b601565497e7b0cb77753e2adc4f422e8e251caf614cbc2f,https://cdn.pokedb.org/eebc2f6908577f70b601565497e7b0cb77753e2adc4f422e8e251caf614cbc2fw20h20,medicine,6,true,true,true,A capsule that allows a Pokémon with two standard Abilities to switch between those Abilities when used.,Cannot switch to or from Hidden Abilities; fails with Fling when held.,false
ability-patch,Ability Patch,https://cdn.pokedb.org/c07882d1659d44dd9dc50545b4e550835c5ec8651153bb6ac70744c8ccc60ce0,https://cdn.pokedb.org/c07882d1659d44dd9dc50545b4e550835c5ec8651153bb6ac70744c8ccc60ce0w20h20,misc-items,8,true,true,true,A patch that changes a Pokémon’s Ability to its Hidden Ability.,"In Generation IX, it can also remove a Hidden Ability and revert to the first Ability slot.",false
ability-shield,Ability Shield,https://cdn.pokedb.org/31202ff6999139da75ebe3965c6eeba65b9620a210db7d2aaf914ba826e57ac4,https://cdn.pokedb.org/31202ff6999139da75ebe3965c6eeba65b9620a210db7d2aaf914ba826e57ac4w20h20,misc-items,9,false,true,false,"A held item that protects the holder from having its Ability changed, suppressed, or ignored.",,true
ability-urge,Ability Urge,https://cdn.pokedb.org/b0688d70a305d204e0b1c7c04795724f7dbd8841fcb9541ce8243b88e7249520,https://cdn.pokedb.org/b0688d70a305d204e0b1c7c04795724f7dbd8841fcb9541ce8243b88e7249520w20h20,battle-items,5,true,false,false,A Wonder Launcher-exclusive battle item that activates the Ability of an ally Pokémon. Only works with Abilities that activate upon entering battle.,"Wonder Launcher exclusive. Costs 3 points to use. Works with: Anticipation, Download, Drizzle, Drought, Forecast, Forewarn, Frisk, Intimidate, Sand Stream, Slow Start, Snow Warning, and Trace.",true
abomasite,Abomasite,https://cdn.pokedb.org/caa14acc66fbb9b6201f7cdce5d72a6f2e5bd758f88a6c9a72616398eb0ffb1e,https://cdn.pokedb.org/caa14acc66fbb9b6201f7cdce5d72a6f2e5bd758f88a6c9a72616398eb0ffb1ew20h20,mega-stones,6,false,true,false,A Mega Stone that allows Abomasnow to Mega Evolve into Mega Abomasnow when held.,,true
abra-candy,Abra Candy,https://cdn.pokedb.org/21e279b4f65dc8c7053dec6ce58f04d4bf00354c66596c0d830dedb50c01b7a5,https://cdn.pokedb.org/21e279b4f65dc8c7053dec6ce58f04d4bf00354c66596c0d830dedb50c01b7a5w20h20,candy,7,true,false,true,"A species-specific candy that increases all AVs by 1 point for Abra, Kadabra, or Alakazam.",,false
absolite,Absolite,https://cdn.pokedb.org/55e3e0033d966fe0e2957e690bff01f026187196d4402347370b94def4937909,https://cdn.pokedb.org/55e3e0033d966fe0e2957e690bff01f026187196d4402347370b94def4937909w20h20,mega-stones,6,false,true,true,A Mega Stone that allows Absol to Mega Evolve into Mega Absol when held.,,true
absolite-z,Absolite Z,,,mega-stones,9,false,true,false,A mysterious Mega Stone that allows Absol to Mega Evolve into Mega Absol Z during battle.,,true
absorb-bulb,Absorb Bulb,https://cdn.pokedb.org/c6acc19df0943dfdd5654ff9489d333928f41e6f4868aaf25701656bf9dc2155,https://cdn.pokedb.org/c6acc19df0943dfdd5654ff9489d333928f41e6f4868aaf25701656bf9dc2155w20h20,held-items,5,true,true,false,A consumable bulb that raises the holder's Special Attack by one stage when hit by a damaging Water-type move.,,true
academy-ball,Academy Ball,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,picnic-items,9,false,false,true,A standard-issue academy ball that can be brought out during a picnic and kicked around by the player and their Pokémon.,,false
academy-bottle,Academy Bottle,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,picnic-items,9,false,false,false,A decorative picnic item emblazoned with the academy's emblem.,,false
academy-chairs,Academy Chairs,,,picnic-items,9,false,false,false,A set of chairs used to decorate the player's picnic.,,false
academy-cup,Academy Cup,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,picnic-items,9,false,false,true,A standard-issue academy cup used to decorate the player's picnic.,,false
academy-tablecloth,Academy Tablecloth,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,picnic-items,9,false,false,false,A standard-issue academy tablecloth used to decorate the player's picnic.,Having this item allows a picnicker on Reveler's Road in front of Kitakami Hall to give the player the Academy Chairs.,false
acro-bike,Acro Bike,https://cdn.pokedb.org/f6aab72b0d59a43c4f32423b9518bec64fc019b7405a7a7639d9c2a123ebd5b7,https://cdn.pokedb.org/f6aab72b0d59a43c4f32423b9518bec64fc019b7405a7a7639d9c2a123ebd5b7w20h20,key-items,3,false,false,true,A folding bicycle that allows the rider to perform tricks such as wheelies and bunny hops to reach special areas.,Counterpart to the Mach Bike.,false
