move_id,version_identifier,flavor_text
1,black-2-white-2,"The target is physically pounded with a long tail or a foreleg, etc."
1,black-white,"The target is physically pounded with a long tail or a foreleg, etc."
1,crystal,Pounds with forelegs or tail.
1,diamond-pearl,"The foe is physically pounded with a long tail or a foreleg, etc."
1,emerald,Pounds the foe with forelegs or tail.
1,firered-leafgreen,"A physical attack delivered with a long tail or a foreleg, etc."
1,gold-silver,Pounds with forelegs or tail.
1,heartgold-soulsilver,"The foe is physically pounded with a long tail or a foreleg, etc."
1,lets-go-pikachu-lets-go-eevee,"The target is physically pounded with a long tail, a foreleg, or the like."
1,omega-ruby-alpha-sapphire,"The target is physically pounded with a long tail, a foreleg, or the like."
1,platinum,"The foe is physically pounded with a long tail or a foreleg, etc."
1,ruby-sapphire,Pounds the foe with forelegs or tail.
1,sun-moon,"The target is physically pounded with a long tail, a foreleg, or the like."
1,sword-shield,"The target is physically pounded with a long tail, a foreleg, or the like."
1,ultra-sun-ultra-moon,"The target is physically pounded with a long tail, a foreleg, or the like."
1,x-y,"The target is physically pounded with a long tail, a foreleg, or the like."
2,black-2-white-2,The target is attacked with a sharp chop. Critical hits land more easily.
2,black-white,The target is attacked with a sharp chop. Critical hits land more easily.
2,crystal,Has a high critical hit ratio.
2,diamond-pearl,The foe is attacked with a sharp chop. It has a high critical-hit ratio.
2,emerald,A chopping attack with a high critical-hit ratio.
2,firered-leafgreen,The foe is attacked with a sharp chop. It has a high critical-hit ratio.
2,gold-silver,Has a high critical hit ratio.
2,heartgold-soulsilver,The foe is attacked with a sharp chop. It has a high critical-hit ratio.
2,lets-go-pikachu-lets-go-eevee,The target is attacked with a sharp chop. Critical hits land more easily.
2,omega-ruby-alpha-sapphire,The target is attacked with a sharp chop. Critical hits land more easily.
2,platinum,The foe is attacked with a sharp chop. It has a high critical-hit ratio.
2,ruby-sapphire,A chopping attack with a high critical-hit ratio.
2,sun-moon,The target is attacked with a sharp chop. Critical hits land more easily.
2,sword-shield,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
2,ultra-sun-ultra-moon,The target is attacked with a sharp chop. Critical hits land more easily.
2,x-y,The target is attacked with a sharp chop. Critical hits land more easily.
3,black-2-white-2,"The target is slapped repeatedly, back and forth, two to five times in a row."
3,black-white,"The target is slapped repeatedly, back and forth, two to five times in a row."
3,crystal,Repeatedly slaps 2-5 times.
3,diamond-pearl,"The foe is slapped repeatedly, back and forth, two to five times in a row."
3,emerald,Repeatedly slaps the foe 2 to 5 times.
3,firered-leafgreen,"The foe is slapped repeatedly, back and forth, two to five times."
3,gold-silver,Repeatedly slaps 2-5 times.
3,heartgold-soulsilver,"The foe is slapped repeatedly, back and forth, two to five times in a row."
3,lets-go-pikachu-lets-go-eevee,"The target is slapped repeatedly, back and forth, two to five times in a row."
3,omega-ruby-alpha-sapphire,"The target is slapped repeatedly, back and forth, two to five times in a row."
3,platinum,"The foe is slapped repeatedly, back and forth, two to five times in a row."
3,ruby-sapphire,Repeatedly slaps the foe 2 to 5 times.
3,sun-moon,"The target is slapped repeatedly, back and forth, two to five times in a row."
3,sword-shield,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
3,ultra-sun-ultra-moon,"The target is slapped repeatedly, back and forth, two to five times in a row."
3,x-y,"The target is slapped repeatedly, back and forth, two to five times in a row."
4,black-2-white-2,The target is hit with a flurry of punches that strike two to five times in a row.
4,black-white,The target is hit with a flurry of punches that strike two to five times in a row.
4,crystal,Repeatedly punches 2-5 times.
4,diamond-pearl,The foe is hit with a flurry of punches that strike two to five times in a row.
4,emerald,Repeatedly punches the foe 2 to 5 times.
4,firered-leafgreen,The foe is hit with a flurry of punches that strike two to five times.
4,gold-silver,Repeatedly punches 2-5 times.
4,heartgold-soulsilver,The foe is hit with a flurry of punches that strike two to five times in a row.
4,lets-go-pikachu-lets-go-eevee,The target is hit with a flurry of punches that strike two to five times in a row.
4,omega-ruby-alpha-sapphire,The target is hit with a flurry of punches that strike two to five times in a row.
4,platinum,The foe is hit with a flurry of punches that strike two to five times in a row.
4,ruby-sapphire,Repeatedly punches the foe 2 to 5 times.
4,sun-moon,The target is hit with a flurry of punches that strike two to five times in a row.
4,sword-shield,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
4,ultra-sun-ultra-moon,The target is hit with a flurry of punches that strike two to five times in a row.
4,x-y,The target is hit with a flurry of punches that strike two to five times in a row.
5,black-2-white-2,The target is slugged by a punch thrown with muscle-packed power.
5,black-white,The target is slugged by a punch thrown with muscle-packed power.
5,crystal,A powerful punch thrown very hard.
5,diamond-pearl,The foe is slugged by a punch thrown with muscle-packed power.
5,emerald,A strong punch thrown with incredible power.
5,firered-leafgreen,The foe is slugged by a punch thrown with muscle-packed power.
5,gold-silver,A powerful punch thrown very hard.
5,heartgold-soulsilver,The foe is slugged by a punch thrown with muscle-packed power.
5,lets-go-pikachu-lets-go-eevee,The target is slugged by a punch thrown with muscle-packed power.
5,omega-ruby-alpha-sapphire,The target is slugged by a punch thrown with muscle-packed power.
5,platinum,The foe is slugged by a punch thrown with muscle-packed power.
5,ruby-sapphire,A strong punch thrown with incredible power.
5,sun-moon,The target is slugged by a punch thrown with muscle-packed power.
5,sword-shield,The target is slugged by a punch thrown with muscle-packed power.
5,ultra-sun-ultra-moon,The target is slugged by a punch thrown with muscle-packed power.
5,x-y,The target is slugged by a punch thrown with muscle-packed power.
6,black-2-white-2,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,black-white,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,crystal,Throws coins. Gets them back later.
6,diamond-pearl,Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.
6,emerald,Throws coins at the foe. Money is recovered after.
6,firered-leafgreen,Numerous coins are hurled at the foe. Money is earned after battle.
6,gold-silver,Throws coins. Gets them back later.
6,heartgold-soulsilver,Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.
6,lets-go-pikachu-lets-go-eevee,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,omega-ruby-alpha-sapphire,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,platinum,Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.
6,ruby-sapphire,Throws coins at the foe. Money is recovered after.
6,sun-moon,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,sword-shield,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,ultra-sun-ultra-moon,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
6,x-y,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
7,black-2-white-2,The target is punched with a fiery fist. It may also leave the target with a burn.
7,black-white,The target is punched with a fiery fist. It may also leave the target with a burn.
7,crystal,A fiery punch. May cause a burn.
7,diamond-pearl,The foe is punched with a fiery fist. It may leave the target with a burn.
7,emerald,A fiery punch that may burn the foe.
7,firered-leafgreen,The foe is punched with a fiery fist. It may leave the foe with a burn.
7,gold-silver,A fiery punch. May cause a burn.
7,heartgold-soulsilver,The foe is punched with a fiery fist. It may leave the target with a burn.
7,lets-go-pikachu-lets-go-eevee,The target is punched with a fiery fist. This may also leave the target with a burn.
7,omega-ruby-alpha-sapphire,The target is punched with a fiery fist. This may also leave the target with a burn.
7,platinum,The foe is punched with a fiery fist. It may leave the target with a burn.
7,ruby-sapphire,A fiery punch that may burn the foe.
7,sun-moon,The target is punched with a fiery fist. This may also leave the target with a burn.
7,sword-shield,The target is punched with a fiery fist. This may also leave the target with a burn.
7,ultra-sun-ultra-moon,The target is punched with a fiery fist. This may also leave the target with a burn.
7,x-y,The target is punched with a fiery fist. This may also leave the target with a burn.
8,black-2-white-2,The target is punched with an icy fist. It may also leave the target frozen.
8,black-white,The target is punched with an icy fist. It may also leave the target frozen.
8,crystal,An icy punch. May cause freezing.
8,diamond-pearl,The foe is punched with an icy fist. It may leave the target frozen.
8,emerald,An icy punch that may freeze the foe.
8,firered-leafgreen,The foe is punched with an icy fist. It may leave the foe frozen.
8,gold-silver,An icy punch. May cause freezing.
8,heartgold-soulsilver,The foe is punched with an icy fist. It may leave the target frozen.
8,lets-go-pikachu-lets-go-eevee,The target is punched with an icy fist. This may also leave the target frozen.
8,omega-ruby-alpha-sapphire,The target is punched with an icy fist. This may also leave the target frozen.
8,platinum,The foe is punched with an icy fist. It may leave the target frozen.
8,ruby-sapphire,An icy punch that may freeze the foe.
8,sun-moon,The target is punched with an icy fist. This may also leave the target frozen.
8,sword-shield,The target is punched with an icy fist. This may also leave the target frozen.
8,ultra-sun-ultra-moon,The target is punched with an icy fist. This may also leave the target frozen.
8,x-y,The target is punched with an icy fist. This may also leave the target frozen.
9,black-2-white-2,The target is punched with an electrified fist. It may also leave the target with paralysis.
