id,identifier,name,generation_id,type_id,power,pp,accuracy,priority,move_target_id,damage_category_id,contest_type_id,contest_effect_id,super_contest_effect_id,name_jp,name_jp_romanized,name_fr,name_ger,name_it,name_es,name_kr,name_kr_romanized,name_cn,name_cn_romanized
1,pound,Pound,1,1,40,35,100,0,1,1,5,1,5,はたく,Hataku,Écras'Face,Klaps,Botta,Destructor,막치기,Makchigi,拍擊 / 拍击,Pāijī / Paakgīk
2,karate-chop,Karate Chop,1,2,50,25,100,0,1,1,5,2,5,からてチョップ,Karate Choppu,Poing Karaté,Karateschlag,Colpokarate,Golpe Kárate,태권당수,Taegweon Dangsu,空手劈,Kōngshǒu Pī / Hūngsáu Pek
3,double-slap,Double Slap,1,1,15,10,85,0,1,1,5,10,7,おうふくビンタ,Ōfuku Binta,Torgnoles,Duplexhieb,Doppiasberla,Doble Bofetón,연속뺨치기,Yeonsok Ppyamchigi,連環巴掌 / 连环巴掌,Liánhuán Bāzhang / Lìhnwàahn Bājéung
4,comet-punch,Comet Punch,1,1,18,15,85,0,1,1,5,12,7,れんぞくパンチ,Renzoku Panchi,Poing Comète,Kometenhieb,Cometapugno,Puño Cometa,연속펀치,Yeonsok Punch,連續拳 / 连续拳,Liánxù Quán / Lìhnjuhk Kyùhn
5,mega-punch,Mega Punch,1,1,80,20,85,0,1,1,5,1,18,メガトンパンチ,Megaton Panchi,Ultimapoing,Megahieb,Megapugno,Megapuño,메가톤펀치,Megaton Punch,百萬噸重拳 / 百万吨重拳,Bǎiwàn-dùn Zhòngquán / Baakmaahn-dēun Chúhngkyùhn
6,pay-day,Pay Day,1,1,40,20,100,0,1,1,4,11,23,ネコにこばん,Neko ni Koban,Jackpot,Zahltag,Giornopaga,Día de Pago,고양이돈받기,Goyang'i Donbatgi,聚寶功 / 聚宝功,Jùbǎo-gōng / Jeuihbóu-gūng
7,fire-punch,Fire Punch,1,10,75,15,100,0,1,1,2,1,17,ほのおのパンチ,Honō no Panchi,Poing Feu,Feuerschlag,Fuocopugno,Puño Fuego,불꽃펀치,Bulkkot Punch,火焰拳,Huǒyàn Quán / Fóyihm Kyùhn
8,ice-punch,Ice Punch,1,15,75,15,100,0,1,1,2,1,17,れいとうパンチ,Reitō Panchi,Poing Glace,Eishieb,Gelopugno,Puño Hielo,냉동펀치,Naengdong Punch,冰凍拳 / 冰冻拳,Bīngdòng Quán / Bīngdung Kyùhn
9,thunder-punch,Thunder Punch,1,13,75,15,100,0,1,1,1,1,17,かみなりパンチ,Kaminari Panchi,Poing Éclair,Donnerschlag,Tuonopugno,Puño Trueno,번개펀치,Beongae Punch,雷電拳 / 雷电拳,Léidiàn Quán / Lèuihdihn Kyùhn
10,scratch,Scratch,1,1,40,35,100,0,1,1,5,1,5,ひっかく,Hikkaku,Griffe,Kratzer,Graffio,Arañazo,할퀴기,Halkwigi,抓,Zhuā / Jáau
