id,generation_id,percentage_male,catch_rate,base_friendship_gen3_7,base_friendship_gen8,hatch_time_cycles,leveling_rate_id
1,1,87.5,45,70,50,20,4
2,1,87.5,45,70,50,20,4
3,1,87.5,45,70,50,20,4
4,1,87.5,45,70,50,20,4
5,1,87.5,45,70,50,20,4
6,1,87.5,45,70,50,20,4
7,1,87.5,45,70,50,20,4
8,1,87.5,45,70,50,20,4
9,1,87.5,45,70,50,20,4
10,1,50,255,70,50,15,3
11,1,50,120,70,50,15,3
12,1,50,45,70,50,15,3
13,1,50,255,70,50,15,3
14,1,50,120,70,50,15,3
15,1,50,45,70,50,15,3
16,1,50,255,70,50,15,4
17,1,50,120,70,50,15,4
18,1,50,45,70,50,15,4
19,1,50,255,70,50,15,3
20,1,50,127,70,50,15,3
21,1,50,255,70,50,15,3
22,1,50,90,70,50,15,3
23,1,50,255,70,50,20,3
24,1,50,90,70,50,20,3
25,1,50,190,70,50,10,3
26,1,50,75,70,50,10,3
27,1,50,255,70,50,20,3
28,1,50,90,70,50,20,3
29,1,0,235,70,50,20,4
30,1,0,120,70,50,20,4
31,1,0,45,70,50,20,4
32,1,100,235,70,50,20,4
33,1,100,120,70,50,20,4
34,1,100,45,70,50,20,4
35,1,25,150,140,140,10,2
36,1,25,25,140,140,10,2
37,1,25,190,70,50,20,3
38,1,25,75,70,50,20,3
39,1,25,170,70,50,10,2
40,1,25,50,70,50,10,2
41,1,50,255,70,50,15,3
42,1,50,90,70,50,15,3
43,1,50,255,70,50,20,4
44,1,50,120,70,50,20,4
45,1,50,45,70,50,20,4
46,1,50,190,70,50,20,3
47,1,50,75,70,50,20,3
48,1,50,190,70,50,20,3
49,1,50,75,70,50,20,3
50,1,50,255,70,50,20,3
51,1,50,50,70,50,20,3
52,1,50,255,70,50,20,3
53,1,50,90,70,50,20,3
54,1,50,190,70,50,20,3
55,1,50,75,70,50,20,3
56,1,50,190,70,50,20,3
57,1,50,75,70,50,20,3
58,1,75,190,70,50,20,5
59,1,75,75,70,50,20,5
60,1,50,255,70,50,20,4
61,1,50,120,70,50,20,4
62,1,50,45,70,50,20,4
63,1,75,200,70,50,20,4
64,1,75,100,70,50,20,4
65,1,75,50,70,50,20,4
66,1,75,180,70,50,20,4
67,1,75,90,70,50,20,4
68,1,75,45,70,50,20,4
69,1,50,255,70,50,20,4
70,1,50,120,70,50,20,4
71,1,50,45,70,50,20,4
72,1,50,190,70,50,20,5
73,1,50,60,70,50,20,5
74,1,50,255,70,50,15,4
75,1,50,120,70,50,15,4
76,1,50,45,70,50,15,4
77,1,50,190,70,50,20,3
78,1,50,60,70,50,20,3
79,1,50,190,70,50,20,3
80,1,50,75,70,50,20,3
81,1,???,190,70,50,20,3
82,1,???,60,70,50,20,3
83,1,50,45,70,50,20,3
84,1,50,190,70,50,20,3
85,1,50,45,70,50,20,3
86,1,50,190,70,50,20,3
87,1,50,75,70,50,20,3
88,1,50,190,70,50,20,3
89,1,50,75,70,50,20,3
90,1,50,190,70,50,20,5
91,1,50,60,70,50,20,5
92,1,50,190,70,50,20,4
93,1,50,90,70,50,20,4
94,1,50,45,70,50,20,4
95,1,50,45,70,50,25,3
96,1,50,190,70,50,20,3
97,1,50,75,70,50,20,3
98,1,50,225,70,50,20,3
99,1,50,60,70,50,20,3
100,1,???,190,70,50,20,3
101,1,???,60,70,50,20,3
102,1,50,90,70,50,20,5
103,1,50,45,70,50,20,5
104,1,50,190,70,50,20,3
105,1,50,75,70,50,20,3
106,1,100,45,70,50,25,3
107,1,100,45,70,50,25,3
108,1,50,45,70,50,20,3
109,1,50,190,70,50,20,3
110,1,50,60,70,50,20,3
111,1,50,120,70,50,20,5
112,1,50,60,70,50,20,5
113,1,0,30,140,140,40,2
114,1,50,45,70,50,20,3
115,1,0,45,70,50,20,3
116,1,50,225,70,50,20,3
117,1,50,75,70,50,20,3
118,1,50,225,70,50,20,3
119,1,50,60,70,50,20,3
120,1,???,225,70,50,20,5
121,1,???,60,70,50,20,5
122,1,50,45,70,50,25,3
123,1,50,45,70,50,25,3
124,1,0,45,70,50,25,3
125,1,75,45,70,50,25,3
126,1,75,45,70,50,25,3
127,1,50,45,70,50,25,5
128,1,100,45,70,50,20,5
129,1,50,255,70,50,5,5
130,1,50,45,70,50,5,5
131,1,50,45,70,50,40,5
132,1,???,35,70,50,20,3
133,1,87.5,45,70,50,35,3
134,1,87.5,45,70,50,35,3
135,1,87.5,45,70,50,35,3
136,1,87.5,45,70,50,35,3
137,1,???,45,70,50,20,3
138,1,87.5,45,70,50,30,3
139,1,87.5,45,70,50,30,3
140,1,87.5,45,70,50,30,3
141,1,87.5,45,70,50,30,3
