id,identifier,name,attack_modifier,defense_modifier,special_attack_modifier,special_defense_modifier,speed_modifier,icon_path,favorite_flavor,disliked_flavor
1,adamant,Adamant,1.1,1,0.9,1,1,https://cdn.pokedb.org/1f7a673466d1925ad435901149ca6503578f8af06a4eb86399a1551c38602a18,Spicy,Dry
2,bashful,Bashful,1,1,1,1,1,https://cdn.pokedb.org/36bd0638f98ad4435982c5d6315b1a489797ee8a3cdd137a9c89af567d14a660,none,none
3,bold,Bold,0.9,1.1,1,1,1,https://cdn.pokedb.org/81d05fb90570a11c9188ef80452ce56d7fdfa7d6b467853f0c20dc84cc6e2478,Sour,Spicy
4,brave,Brave,1.1,1,1,1,0.9,https://cdn.pokedb.org/92c3f485488abcf059f4a056204765283976e47c90b5c254eacb5436a8822ef0,Spicy,Sweet
5,calm,Calm,0.9,1,1,1.1,1,https://cdn.pokedb.org/52d692ab4bf9f62427c84ef1cdbfd3fe12beb19e552e3314192568fe7a24e0aa,Bitter,Spicy
6,careful,Careful,1,1,0.9,1.1,1,https://cdn.pokedb.org/8741e1412a74fa5f15a692a344744ce2027c6c7989bc2509c346dcd249bf9dfe,Bitter,Dry
7,docile,Docile,1,1,1,1,1,https://cdn.pokedb.org/2939502eb839291ace1522194f2ec204194ba16d90f8fab9e783d4a7a2eb26c8,none,none
8,gentle,Gentle,1,0.9,1,1.1,1,https://cdn.pokedb.org/023456e174cd1e318538c2e335742a33cbc8d793eb2b24c3beffbbf981b7ef92,Bitter,Sour
9,hardy,Hardy,1,1,1,1,1,https://cdn.pokedb.org/280750fdce4be3306f0759857f8e9c328570f5775734a6727cb8b5e90a361ab6,none,none
10,hasty,Hasty,1,0.9,1,1,1.1,https://cdn.pokedb.org/96e357b1204182c4e756e4c618ff2d139a803bcf780543823b22cd2a7248e634,Sweet,Sour
11,impish,Impish,1,1.1,0.9,1,1,https://cdn.pokedb.org/71394a90e4baf9cc561f2565064982495dbf64fccb7ba852fa38c8180155dfff,Sour,Dry
12,jolly,Jolly,1,1,0.9,1,1.1,https://cdn.pokedb.org/50df7c26a66986c10d9f27754ba435e9c0f54bb007708f1c5fdb5c453936d63e,Sweet,Dry
13,lax,Lax,1,1.1,1,0.9,1,https://cdn.pokedb.org/26727adc2179d18a8866dc6906c4497f2d7a43e94363e9c01f4167ae3c4c679d,Sour,Bitter
14,lonely,Lonely,1.1,0.9,1,1,1,https://cdn.pokedb.org/a46ffd60b3d36415245ddd69893496f5f90e5477d7a57e87be4fe369fb5ff71d,Spicy,Sour
15,mild,Mild,1,0.9,1.1,1,1,https://cdn.pokedb.org/07e022878a5af92284107b920ff6933946791d94a7d6af0ebd94bbc45eae6127,Dry,Sour
16,modest,Modest,0.9,1,1.1,1,1,https://cdn.pokedb.org/8e2068310cfcde89568959670ae3491ffe0c8e02f5722c5de5653d978f95307c,Dry,Spicy
17,naive,Naive,1,1,1,0.9,1.1,https://cdn.pokedb.org/bc06e15bf9030a38f6e6868f352a0f693e96ff169d1a01fcba520a8d3adc0565,Sweet,Bitter
18,naughty,Naughty,1.1,1,1,0.9,1,https://cdn.pokedb.org/69ae91b8647ea44dcfd32dcd2433fcf7beef2e6766a87e1ac39aaa7cb3e70bf2,Spicy,Bitter
19,quiet,Quiet,1,1,1.1,1,0.9,https://cdn.pokedb.org/b498db3e40372a659ee5e38323386ea85707450040735227e8496291091dc146,Dry,Sweet
20,quirky,Quirky,1,1,1,1,1,https://cdn.pokedb.org/dc1d2178df04fc045df18ca98b5904f99a91fed1c2cd57ff10283c2d76784297,none,none
21,rash,Rash,1,1,1.1,0.9,1,https://cdn.pokedb.org/694a5fc9dc0dff21cff82358add6315709bd8c1ac9c35dfa166a1e8dc3c101f9,Dry,Bitter
22,relaxed,Relaxed,1,1.1,1,1,0.9,https://cdn.pokedb.org/77d70eb43b9a4fe5c5883006e8aa0148b4bc5bb98f989c817d2a3f44aca1ea1a,Sour,Sweet
23,sassy,Sassy,1,1,1,1.1,0.9,https://cdn.pokedb.org/1fbf042aca9040a85acb8f08481fae7c63d07d4a55e13b274e76fda1ff2f53fa,Bitter,Sweet
24,serious,Serious,1,1,1,1,1,https://cdn.pokedb.org/59b88290f32156620455e6a945530041437be619e474eafaaf583f101aad9516,none,none
25,timid,Timid,0.9,1,1,1,1.1,https://cdn.pokedb.org/88959d2d59d5c46c98680ebc6b88c9e2b5b7af13fa5edfa12fe8cb062f0d35c6,Sweet,Spicy
