ndex_id,name_english,name_german,name_french,name_spanish,name_italian,name_japanese,name_japanese_romanized,name_korean,name_korean_romanized,name_chinese_traditional,name_chinese_simplified,name_chinese_romanized,identifier
1,Bulbasaur,Bisasam,Bulbizarre,Bulbasaur,Bulbasaur,フシギダネ,Fushigidane,이상해씨,Isanghaessi,妙蛙種子,妙蛙种子,Miàowāzhǒngzǐ,bulbasaur
2,Ivysaur,Bisaknosp,Herbizarre,Ivysaur,Ivysaur,フシギソウ,Fushigisō,이상해풀,Isanghaepul,妙蛙草,妙蛙草,Miàowācǎo,ivysaur
3,Venusaur,Bisaflor,Florizarre,Venusaur,Venusaur,フシギバナ,Fushigibana,이상해꽃,Isanghaekkot,妙蛙花,妙蛙花,Miàowāhuā,venusaur
4,Charmander,Glumanda,Salamèche,Charmander,Charmander,ヒトカゲ,Hitokage,파이리,Pairi,小火龍,小火龙,Xiǎohuǒlóng,charmander
5,Charmeleon,Glutexo,Reptincel,Charmeleon,Charmeleon,リザード,Rizādo,리자드,Rijadeu,火恐龍,火恐龙,Huǒkǒnglóng,charmeleon
6,Charizard,Glurak,Dracaufeu,Charizard,Charizard,リザードン,Rizādon,리자몽,Rijamong,噴火龍,喷火龙,Pēnhuǒlóng,charizard
7,Squirtle,Schiggy,Carapuce,Squirtle,Squirtle,ゼニガメ,Zenigame,꼬부기,Kkobugi,傑尼龜,杰尼龟,Jiéníguī,squirtle
8,Wartortle,Schillok,Carabaffe,Wartortle,Wartortle,カメール,Kamēru,어니부기,Eonibugi,卡咪龜,卡咪龟,Kǎmīguī,wartortle
9,Blastoise,Turtok,Tortank,Blastoise,Blastoise,カメックス,Kamekkusu,거북왕,Geobugwang,水箭龜,水箭龟,Shuǐjiànguī,blastoise
10,Caterpie,Raupy,Chenipan,Caterpie,Caterpie,キャタピー,Kyatapī,캐터피,Kaeteopi,綠毛蟲,绿毛虫,Lǜmáochóng,caterpie
11,Metapod,Safcon,Chrysacier,Metapod,Metapod,トランセル,Toranseru,단데기,Dandegi,鐵甲蛹,铁甲蛹,Tiějiáyǒng,metapod
12,Butterfree,Smettbo,Papilusion,Butterfree,Butterfree,バタフリー,Batafurī,버터플,Beoteopeul,巴大蝶,巴大蝶,Bādàdié,butterfree
13,Weedle,Hornliu,Aspicot,Weedle,Weedle,ビードル,Bīdoru,뿔충이,Ppulchungi,獨角蟲,独角虫,Dújiǎochóng,weedle
14,Kakuna,Kokuna,Coconfort,Kakuna,Kakuna,コクーン,Kokūn,딱충이,Ttakchungi,鐵殼蛹,铁壳蛹,Tiěkéyǒng,kakuna
15,Beedrill,Bibor,Dardargnan,Beedrill,Beedrill,スピアー,Supiā,독침붕,Dokchimbung,大針蜂,大针蜂,Dàzhēnfēng,beedrill
16,Pidgey,Taubsi,Roucool,Pidgey,Pidgey,ポッポ,Poppo,구구,Gugu,波波,波波,Bōbō,pidgey
17,Pidgeotto,Tauboga,Roucoups,Pidgeotto,Pidgeotto,ピジョン,Pijon,피죤,Pijyon,比比鳥,比比鸟,Bǐbǐniǎo,pidgeotto
18,Pidgeot,Tauboss,Roucarnage,Pidgeot,Pidgeot,ピジョット,Pijotto,피죤투,Pijyontu,大比鳥,大比鸟,Dàbǐniǎo,pidgeot
19,Rattata,Rattfratz,Rattata,Rattata,Rattata,コラッタ,Koratta,꼬렛,Kkoret,小拉達,小拉达,Xiǎolādá,rattata
20,Raticate,Rattikarl,Rattatac,Raticate,Raticate,ラッタ,Ratta,레트라,Reteura,拉達,拉达,Lādá,raticate
21,Spearow,Habitak,Piafabec,Spearow,Spearow,オニスズメ,Onisuzume,깨비참,Kkaebicham,烈雀,烈雀,Lièquè,spearow
22,Fearow,Ibitak,Rapasdepic,Fearow,Fearow,オニドリル,Onidoriru,깨비드릴조,Kkaebideuriljo,大嘴雀,大嘴雀,Dàzuǐquè,fearow
23,Ekans,Rettan,Abo,Ekans,Ekans,アーボ,Ābo,아보,Abo,阿柏蛇,阿柏蛇,Ābóshé,ekans
24,Arbok,Arbok,Arbok,Arbok,Arbok,アーボック,Ābokku,아보크,Abokeu,阿柏怪,阿柏怪,Ābóguài,arbok
25,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,ピカチュウ,Pikachū,피카츄,Pikachyu,皮卡丘,皮卡丘,Píkǎqiū,pikachu
26,Raichu,Raichu,Raichu,Raichu,Raichu,ライチュウ,Raichū,라이츄,Raichyu,雷丘,雷丘,Léiqiū,raichu
27,Sandshrew,Sandan,Sabelette,Sandshrew,Sandshrew,サンド,Sando,모래두지,Moraeduji,穿山鼠,穿山鼠,Chuānshānshǔ,sandshrew
28,Sandslash,Sandamer,Sablaireau,Sandslash,Sandslash,サンドパン,Sandopan,고지,Goji,穿山王,穿山王,Chuānshānwáng,sandslash
29,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,ニドラン♀,Nidoran Mesu,니드런♀,Nideureonamkeot,尼多蘭,尼多兰,Níduōlán,nidoran-f
30,Nidorina,Nidorina,Nidorina,Nidorina,Nidorina,ニドリーナ,Nidorīna,니드리나,Nideurina,尼多娜,尼多娜,Níduōnà,nidorina
31,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,ニドクイン,Nidokuin,니드퀸,Nideukwin,尼多后,尼多后,Níduōhòu,nidoqueen
32,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,ニドラン♂,Nidoran Osu,니드런♂,Nideureonsukeot,尼多朗,尼多朗,Níduōláng,nidoran-m
33,Nidorino,Nidorino,Nidorino,Nidorino,Nidorino,ニドリーノ,Nidorīno,니드리노,Nideurino,尼多力諾,尼多力诺,Níduōlìnuò,nidorino
34,Nidoking,Nidoking,Nidoking,Nidoking,Nidoking,ニドキング,Nidokingu,니드킹,Nideuking,尼多王,尼多王,Níduōwáng,nidoking
35,Clefairy,Piepi,Mélofée,Clefairy,Clefairy,ピッピ,Pippi,삐삐,Ppippi,皮皮,皮皮,Pípí,clefairy
36,Clefable,Pixi,Mélodelfe,Clefable,Clefable,ピクシー,Pikushī,픽시,Piksi,皮可西,皮可西,Píkěxī,clefable
37,Vulpix,Vulpix,Goupix,Vulpix,Vulpix,ロコン,Rokon,식스테일,Sikseuteil,六尾,六尾,Liùwěi,vulpix
38,Ninetales,Vulnona,Feunard,Ninetales,Ninetales,キュウコン,Kyūkon,나인테일,Nainteil,九尾,九尾,Jiǔwěi,ninetales
39,Jigglypuff,Pummeluff,Rondoudou,Jigglypuff,Jigglypuff,プリン,Purin,푸린,Purin,胖丁,胖丁,Pàngdīng,jigglypuff
40,Wigglytuff,Knuddeluff,Grodoudou,Wigglytuff,Wigglytuff,プクリン,Pukurin,푸크린,Pukeurin,胖可丁,胖可丁,Pàngkědīng,wigglytuff
41,Zubat,Zubat,Nosferapti,Zubat,Zubat,ズバット,Zubatto,주뱃,Jubaet,超音蝠,超音蝠,Chāoyīnfú,zubat
42,Golbat,Golbat,Nosferalto,Golbat,Golbat,ゴルバット,Gorubatto,골뱃,Golbaet,大嘴蝠,大嘴蝠,Dàzuǐfú,golbat
43,Oddish,Myrapla,Mystherbe,Oddish,Oddish,ナゾノクサ,Nazonokusa,뚜벅쵸,Ttubeokchyo,走路草,走路草,Zǒulùcǎo,oddish
44,Gloom,Duflor,Ortide,Gloom,Gloom,クサイハナ,Kusaihana,냄새꼬,Naemsaekko,臭臭花,臭臭花,Chòuchòuhuā,gloom
45,Vileplume,Giflor,Rafflesia,Vileplume,Vileplume,ラフレシア,Rafureshia,라플레시아,Rapeullesia,霸王花,霸王花,Bàwánghuā,vileplume
46,Paras,Paras,Paras,Paras,Paras,パラス,Parasu,파라스,Paraseu,派拉斯,派拉斯,Pàilāsī,paras
47,Parasect,Parasek,Parasect,Parasect,Parasect,パラセクト,Parasekuto,파라섹트,Parasekteu,派拉斯特,派拉斯特,Pàilāsītè,parasect
48,Venonat,Bluzuk,Mimitoss,Venonat,Venonat,コンパン,Konpan,콘팡,Konpang,毛球,毛球,Máoqiú,venonat
49,Venomoth,Omot,Aéromite,Venomoth,Venomoth,モルフォン,Morufon,도나리,Donari,摩魯蛾,摩鲁蛾,Mólǔ'é,venomoth
