ndex_id,form_name,version_identifier,audio_path
1,Normal Form,red-blue,https://cdn.pokedb.org/ebb65afc5d549aca07e37fa9b6e05ca0a57a15a765dfc62e4fc83d475c1d09e0
1,Normal Form,stadium,https://cdn.pokedb.org/644ca8d11085c95ab503d491bff7b0ce8db898ea47457baf9df54cc870411a0c
1,Normal Form,x-y,https://cdn.pokedb.org/dd0baf63c55b0857c8706942654dd8656d09a4620978de6d993fd2ea8e129894
2,Normal Form,stadium,https://cdn.pokedb.org/6d5711c35baa61657f6f8cf1fe703cfb2e815d545b9332d153835f45f1fb48b5
2,Normal Form,red-blue,https://cdn.pokedb.org/6c7c5d997c82782d3c12daa5fa9cc6d88f31bfca1663d48f0f7ab3622292ef83
2,Normal Form,x-y,https://cdn.pokedb.org/85e22285b64eae121f5ccce4ea3a65e725fcaeaad365d2781515c7659181ff39
3,Gigantamax,sword-shield,https://cdn.pokedb.org/6284e1d203855092e8f819546d08f59452359471ec125e351ccec26a5583b159
3,Mega Evolution,x-y,https://cdn.pokedb.org/e37e75476e35933d98e3f84b1eaf0cb94dfb36d10dd193ad3217c5bf00d56292
3,Normal Form,stadium,https://cdn.pokedb.org/9ba02ed9471ee84962fc8ae36f05d79e56c72effcbdee59f64fbb637348f79b2
3,Normal Form,red-blue,https://cdn.pokedb.org/6071ba342413c5acbc5f6f12fb2d0b45119270d17347cc5691ca5e3c0c421ea0
3,Normal Form,x-y,https://cdn.pokedb.org/e761508c20ed1106bfc396c75d20ba938a294586ddbf0d2a1f0a9b63a2e0eb02
4,Normal Form,red-blue,https://cdn.pokedb.org/329bddf1dc1ee4348e2f3161d1f3bb176489ffe1f8f28311bbbec9fb95a5dfba
4,Normal Form,stadium,https://cdn.pokedb.org/57c404f7ee82204af9cbb19b42361d614384606a8f381ac42e27041381d782f4
4,Normal Form,x-y,https://cdn.pokedb.org/70f2a3d5528a28057c5c43a7b1733a02879616874b22c65a00e4a0c75eea8f44
5,Normal Form,red-blue,https://cdn.pokedb.org/44d9329c46b4c16038085dc68bf395b44d7b2647225468355f0bb8960ecff8d1
5,Normal Form,stadium,https://cdn.pokedb.org/c9f7513b36f3d762af409f7f6213e321557eab37a0b79ce05c7c98252c89508f
5,Normal Form,x-y,https://cdn.pokedb.org/a200a8c9e00b8a36108ecb5134ec7876566dfa15915cc3c1c53e5431b6f919ef
6,Gigantamax,sword-shield,https://cdn.pokedb.org/40e43c5efcd31a91f99796ef0683dfac799455a94db0eb417a20cc10ecf99cec
6,Mega Evolution X,x-y,https://cdn.pokedb.org/dff7e504e375b113c591128e6fb96f3a7d4584399756bd4c4917665afd1de868
6,Mega Evolution Y,x-y,https://cdn.pokedb.org/d5f19cfed5ed24fe0a1884485b441fd38236a3c0bd072d8553d597241c5fbd77
6,Normal Form,red-blue,https://cdn.pokedb.org/a63cb1b2cd76cf0084396abbca827cef0c9f74a75fb02127ea1ac50fb12743ed
6,Normal Form,stadium,https://cdn.pokedb.org/970c3f73c8d71c813180d78fc81c1059e419f54aacfe6f64a71688cc9d020f95
6,Normal Form,x-y,https://cdn.pokedb.org/786110f8ccf5ed32fc7e0e9bf1008743379bd4aec392090cd340cb81bc8aa122
7,Normal Form,red-blue,https://cdn.pokedb.org/8de9e3d86b15bf0231aaa9467722c98d1cc675551df79fc14a1cceddc3da5b59
7,Normal Form,stadium,https://cdn.pokedb.org/94e7f04e59f57f123ae27849b8b7676c771a85ef449311e43ea3c9fb6dca3fdc
7,Normal Form,x-y,https://cdn.pokedb.org/a3ace8bdaf6cc106d4b7ba078576526d4416dba46de356bff9e76f53ed1fc867
8,Normal Form,red-blue,https://cdn.pokedb.org/583193bd8a028293c4737e60fe6ce26e7788f6d0196906a2b8e891381f2ac4d5
8,Normal Form,stadium,https://cdn.pokedb.org/accc45c3dd7474625923e5f322dd1429e7fe9dd4ab53ff497529d0f8e4c60309
8,Normal Form,x-y,https://cdn.pokedb.org/5596b0eec9fd90c797b081122380122c26a7cc20afa140c919e3b60e1b78e8a4
9,Gigantamax,sword-shield,https://cdn.pokedb.org/ec5bc93a8e155bad860d4fc6cd3ff5e4f7ceeb3612e2fd1a8c6a4934e6ad6ab3
9,Mega Evolution,x-y,https://cdn.pokedb.org/eb70b16f35a6d6f073ad4369e7708d2ee84294bc9c1b162bbab3ed00b9008a6b
9,Normal Form,red-blue,https://cdn.pokedb.org/e4d47ec81864fc1b4af13fe5d7d0f9012862e6289bf52a1d7f31d7a330b83487
9,Normal Form,stadium,https://cdn.pokedb.org/0583d31aeb4865c88a954ad337c6bd7e9c8076827541691968c0c7229237fefc
9,Normal Form,x-y,https://cdn.pokedb.org/63276a248859493b5371debead0b4e76ab6d43ca2563ed46529daf06ec708f27
10,Normal Form,red-blue,https://cdn.pokedb.org/718ee6a4f22b6c804a1238c60297488de41227b65608495ae3220c911c17b4d8
10,Normal Form,stadium,https://cdn.pokedb.org/ae5b4822592ced9cf2e3954bfe198b96ec6df6c4d218eb132e4ccf93a2a0b99a
10,Normal Form,x-y,https://cdn.pokedb.org/bfced1ddca8ec052836c387b746306d8de4db7fef63f12f46b0ff74276ea91c1
11,Normal Form,red-blue,https://cdn.pokedb.org/5ef1c3af47ee2207602ea22cb0160567a833486b44e23f94c9871fae1d61afeb
11,Normal Form,stadium,https://cdn.pokedb.org/59a5b3aae2e92d3d422ad3750b7db7601ed97ddbb4ce2e38eaf403baaba5d2b3
11,Normal Form,x-y,https://cdn.pokedb.org/43477501ec56fb6306845e9d8f42c0d1be897fd84c1423a3f0afe6733f18780f
12,Gigantamax,sword-shield,https://cdn.pokedb.org/fe4d987ae5ff22a63b4a0c205ad6fb7837189288048765238ea216dd0ae33b32
12,Normal Form,red-blue,https://cdn.pokedb.org/6d51adab67328f6a600d90a6b469a192a51e1dc1db271bb89e84dd24c86daa4d
12,Normal Form,stadium,https://cdn.pokedb.org/5331abdc811bb3971ffac13bb3678cbfeafc482ccdbaa2db222a39842a2caa62
12,Normal Form,x-y,https://cdn.pokedb.org/347d3a6577126a6b133487ab09b86b199f51b39a7e88c55c7894b9a45bd22b4a
13,Normal Form,red-blue,https://cdn.pokedb.org/d13c455feea1440ff189dac2e307913c1d010b70e04a827081bcd76f7c13de47
13,Normal Form,stadium,https://cdn.pokedb.org/5186225763b9472c0958488e8a8ca1e81d770b6b42be010bbee75253bb607c3e
13,Normal Form,x-y,https://cdn.pokedb.org/7432b000a89fc34a0a7896f561670b5872e99f6154db3704fe93e4eec6c28f5a
14,Normal Form,red-blue,https://cdn.pokedb.org/608414d4d077a973cf18200719a831895a03f448ed3923a5bbb4243e0cb8935d
14,Normal Form,stadium,https://cdn.pokedb.org/c75c0b06434fe32d7281a5b25ef2b87fde84105c126633b9fbe1e6d820cde90f
14,Normal Form,x-y,https://cdn.pokedb.org/cdabf9897da2f81d7bab61a8689cdeb0d7f35f1f04453b0de67466b1f839fb90
15,Mega Evolution,omega-ruby-alpha-sapphire,https://cdn.pokedb.org/ba1d8547ae2cbea010ee8a4ae4f0b3542f59d9978a1316d10ed07f0788322cfd
15,Normal Form,red-blue,https://cdn.pokedb.org/b37ee749419ae9eb63f2751ae2d65df14733b6a5e8a9e8eb54802f92c78f3827
15,Normal Form,stadium,https://cdn.pokedb.org/a1f246be5eeba47a743be20281a1044e123a85ee0fac1ad77f854ae8d0153f34
15,Normal Form,x-y,https://cdn.pokedb.org/2fc130792996417aa9fe6bd9d29b61ec1816e65a2d79c26730f0831f38da4e6d
16,Normal Form,red-blue,https://cdn.pokedb.org/eabcf4f3d7518c9925d6328577ffdbd7a19fc59e6265898cc68bdf6177c0ce3d
16,Normal Form,stadium,https://cdn.pokedb.org/acd029676d3c69cc50acf8fe10103b3b857f03a506589d5616c6c533bd92354a
16,Normal Form,x-y,https://cdn.pokedb.org/be3b20100d4a18bdd92747028388a353e451a62a65ad13e6d2853af25af60ad9
17,Normal Form,red-blue,https://cdn.pokedb.org/add16bb535e430ea0d736ca2b2348820add883c84a182a9e229e3b3e68fbf551
17,Normal Form,stadium,https://cdn.pokedb.org/6431720762cb9eec83424b8ffaf4ea836250e47e0ea2021d9fb14c019107d0b4
17,Normal Form,x-y,https://cdn.pokedb.org/428e2dd373bb11ff097e91178a7a10ab64b61ff823a8f3733cc21aed522c1576
18,Mega Evolution,omega-ruby-alpha-sapphire,https://cdn.pokedb.org/a2fa1528fd23d0d9296846bf9cc671a87f43004614a2aa4ac8df6d520ed1d86a
18,Normal Form,red-blue,https://cdn.pokedb.org/654ea12d4194c7cfb07d2045c8e3fe16f1fcdaf993b61aaf130cd152411e1b19
18,Normal Form,stadium,https://cdn.pokedb.org/ef608326a439efffd358ca69ca3144872eaf150717d05d7ca1e921aae20bddb4
18,Normal Form,x-y,https://cdn.pokedb.org/f3924549a1f622dd68dc43b78a1ce3cd0420432a587e13376fd35bb54b578246
19,Normal Form,red-blue,https://cdn.pokedb.org/ff3b63a4513faf8db8b17a923f59c59dc9621fb072aa4f1d5144796722661dc6
19,Normal Form,stadium,https://cdn.pokedb.org/11a0e89fd6d33a335f70b8878216d2cf71e36b8ae51adeddb4727f201540a8db
19,Normal Form,x-y,https://cdn.pokedb.org/6808345949674b72c5aad0e8324c51eb947576ce589b5ea9b46032d446bc4c5e
20,Normal Form,red-blue,https://cdn.pokedb.org/707d63036f734261984e8374634813e8b728c2bc1b237966fc57671ddf37cddc
20,Normal Form,stadium,https://cdn.pokedb.org/486bd7526f6952b9749fd55534731c2585b2ff769916939775cc386421060387
20,Normal Form,x-y,https://cdn.pokedb.org/83c0e59497d686256576d019edc052b3c5afa34b57e3babf8b32a8119335b13d
21,Normal Form,red-blue,https://cdn.pokedb.org/71c09c9e8b27a06047ab9f91132250d4d14951fff3b78fea800d79328d7bda9e
21,Normal Form,stadium,https://cdn.pokedb.org/8eaaf70da7b01c7c8b5642626694c0bb26059717f9c62187c479cf1898fb6612
21,Normal Form,x-y,https://cdn.pokedb.org/dfa5b3d9493056af27d2068fd792fab995fcad511148891154864bf9c4fdd5cd
22,Normal Form,red-blue,https://cdn.pokedb.org/74b21d8f5f98e1e827f5e80974f6d18f97dc31e7023abdf561013fe4ff6eaafb
22,Normal Form,stadium,https://cdn.pokedb.org/04c6816a290d288da04c3d797bd48ea25e4eb05500e351d2e4be415e3e9971be
22,Normal Form,x-y,https://cdn.pokedb.org/ee4e9ae2666bbcbff74e4d5759ab3f1a271b3b418379a23055d485af5e59f93e
23,Normal Form,red-blue,https://cdn.pokedb.org/99cd48207c6c550f58e87f1a0c643d8af8e21e5eb054af2569c9f94797ee9921
23,Normal Form,stadium,https://cdn.pokedb.org/ec5a7141682d5754741a619c2ec7b16c085a5b95ad0102ec6062397359ccbeaa
23,Normal Form,x-y,https://cdn.pokedb.org/c72c17f57343c4a918e18d4ffca86abc46fbfc7460aaa52530208c6cf40a9851
