id,ndex_id,identifier,form_name,type_1_id,type_2_id,pokemon_category,shape_id,footprint_path,pokedex_color_id,height_m,height_ft,weight_kg,weight_lbs,ability_primary_id,ability_secondary_id,ability_hidden_id,ev_yield_hp,ev_yield_atk,ev_yield_def,ev_yield_spatk,ev_yield_spdef,ev_yield_speed,main_image_normal_path,main_image_normal_path_small,main_image_normal_path_preview,main_image_normal_path_medium,main_image_shiny_path,main_image_shiny_path_small,pokemon_cry_path,stat_hp,stat_attack,stat_defense,stat_spatk,stat_spdef,stat_speed,stat_total,base_experience,is_default_form,include,type_weakness_chart_id,is_first_partner,is_baby,is_mega_evolution,is_gmax_form,is_legendary,is_mythical,is_ultrabeast,is_paradox,is_fossil,origin_region_identifier
1,1,bulbasaur-default,Default Form,12,4,Seed Pokémon,5,https://cdn.pokedb.org/9f5babf7ef36a88bef460767bcf420306d1559353c2f8de909e231a5712fc38d,5,0.7m,"2'4""",6.9kg,15.21lbs,65,,34,0,0,0,1,0,0,https://cdn.pokedb.org/a95b2332fb913104249844766b74e0e3ae70d3dbc7aa664b89e37767c758290f,https://cdn.pokedb.org/a95b2332fb913104249844766b74e0e3ae70d3dbc7aa664b89e37767c758290fw40h40,https://cdn.pokedb.org/a95b2332fb913104249844766b74e0e3ae70d3dbc7aa664b89e37767c758290fw70h70,https://cdn.pokedb.org/a95b2332fb913104249844766b74e0e3ae70d3dbc7aa664b89e37767c758290fw100h100,https://cdn.pokedb.org/448cb4cb01f80deb7212d7a5128806f2f8f6d01306d0855a585869483d4779a9,https://cdn.pokedb.org/448cb4cb01f80deb7212d7a5128806f2f8f6d01306d0855a585869483d4779a9w40h40,https://cdn.pokedb.org/dd0baf63c55b0857c8706942654dd8656d09a4620978de6d993fd2ea8e129894,45,49,49,65,65,45,318,64,true,true,3443,true,false,false,false,false,false,false,false,false,kanto
2,2,ivysaur-default,Default Form,12,4,Seed Pokémon,5,https://cdn.pokedb.org/63cd517417258ff4c7c5e3fef207fe9287ff4c66d74b6a0d072dc39f4b3b5b21,5,1.0m,"3'3""",13.0kg,28.66lbs,65,,34,0,0,0,1,1,0,https://cdn.pokedb.org/c6f939a796c84192a6046abbba2e06af8a2c5c622b1596ac42331d51763f9db0,https://cdn.pokedb.org/c6f939a796c84192a6046abbba2e06af8a2c5c622b1596ac42331d51763f9db0w40h40,https://cdn.pokedb.org/c6f939a796c84192a6046abbba2e06af8a2c5c622b1596ac42331d51763f9db0w70h70,https://cdn.pokedb.org/c6f939a796c84192a6046abbba2e06af8a2c5c622b1596ac42331d51763f9db0w100h100,https://cdn.pokedb.org/375855b23dfbc896b00e0a5e624a6fc28dc7970744ca7370503f3e707aefe14d,https://cdn.pokedb.org/375855b23dfbc896b00e0a5e624a6fc28dc7970744ca7370503f3e707aefe14dw40h40,https://cdn.pokedb.org/85e22285b64eae121f5ccce4ea3a65e725fcaeaad365d2781515c7659181ff39,60,62,63,80,80,60,405,142,true,true,3443,false,false,false,false,false,false,false,false,false,kanto
3,3,venusaur-default,Default Form,12,4,Seed Pokémon,5,https://cdn.pokedb.org/238eb59e07bb136956b11b2e1b7e8faa38084b4547e14c67a863f8236fe8ca2f,5,2.0m,"6'7""",100.0kg,220.46lbs,65,,34,0,0,0,2,1,0,https://cdn.pokedb.org/dacce036c3b598ec393dda8036fb794bb43d7f31d97b1e3861ccd908d52b63eb,https://cdn.pokedb.org/dacce036c3b598ec393dda8036fb794bb43d7f31d97b1e3861ccd908d52b63ebw40h40,https://cdn.pokedb.org/dacce036c3b598ec393dda8036fb794bb43d7f31d97b1e3861ccd908d52b63ebw70h70,https://cdn.pokedb.org/dacce036c3b598ec393dda8036fb794bb43d7f31d97b1e3861ccd908d52b63ebw100h100,https://cdn.pokedb.org/a1cdd6ee9c7d8753e3a3cda711c86bd9b6ed33e851c0b0ce9954a7aa2e5c87d7,https://cdn.pokedb.org/a1cdd6ee9c7d8753e3a3cda711c86bd9b6ed33e851c0b0ce9954a7aa2e5c87d7w40h40,https://cdn.pokedb.org/e761508c20ed1106bfc396c75d20ba938a294586ddbf0d2a1f0a9b63a2e0eb02,80,82,83,100,100,80,525,236,true,true,3443,false,false,false,false,false,false,false,false,false,kanto
4,3,venusaur-mega-evolution,Mega Evolution,12,4,Seed Pokémon,5,https://cdn.pokedb.org/238eb59e07bb136956b11b2e1b7e8faa38084b4547e14c67a863f8236fe8ca2f,5,2.4m,"7'10""",155.5kg,342.82lbs,47,,,0,0,0,2,1,0,https://cdn.pokedb.org/3f53eb836bd8765ea57f311e3ddc2f046c1a5f7d3022a7cca4f2378d5f354b22,https://cdn.pokedb.org/3f53eb836bd8765ea57f311e3ddc2f046c1a5f7d3022a7cca4f2378d5f354b22w40h40,https://cdn.pokedb.org/3f53eb836bd8765ea57f311e3ddc2f046c1a5f7d3022a7cca4f2378d5f354b22w70h70,https://cdn.pokedb.org/3f53eb836bd8765ea57f311e3ddc2f046c1a5f7d3022a7cca4f2378d5f354b22w100h100,https://cdn.pokedb.org/28a5dbe105564d957ae1da8d23343c4fb215faf77261fd6d18e7249b4e3fe485,https://cdn.pokedb.org/28a5dbe105564d957ae1da8d23343c4fb215faf77261fd6d18e7249b4e3fe485w40h40,https://cdn.pokedb.org/e37e75476e35933d98e3f84b1eaf0cb94dfb36d10dd193ad3217c5bf00d56292,80,100,123,122,120,80,625,281,false,true,3443,false,false,true,false,false,false,false,false,false,kanto
5,3,venusaur-gigantamax,Gigantamax,12,4,Seed Pokémon,5,https://cdn.pokedb.org/238eb59e07bb136956b11b2e1b7e8faa38084b4547e14c67a863f8236fe8ca2f,5,>24m,">78'9""",???kg,???lbs,65,,34,0,0,0,2,1,0,https://cdn.pokedb.org/4838a5f697f333d60b5d0a11120a966127a532f13a43cc7b26f11b99f994d668,https://cdn.pokedb.org/4838a5f697f333d60b5d0a11120a966127a532f13a43cc7b26f11b99f994d668w40h40,https://cdn.pokedb.org/4838a5f697f333d60b5d0a11120a966127a532f13a43cc7b26f11b99f994d668w70h70,https://cdn.pokedb.org/4838a5f697f333d60b5d0a11120a966127a532f13a43cc7b26f11b99f994d668w100h100,https://cdn.pokedb.org/95d0f58ea5e44e67838f95252de72b13d5aea85b0ce004cf22fc72064964fd2d,https://cdn.pokedb.org/95d0f58ea5e44e67838f95252de72b13d5aea85b0ce004cf22fc72064964fd2dw40h40,https://cdn.pokedb.org/6284e1d203855092e8f819546d08f59452359471ec125e351ccec26a5583b159,80,82,83,100,100,80,525,263,false,true,3443,false,false,false,true,false,false,false,false,false,kanto
6,4,charmander-default,Default Form,10,,Lizard Pokémon,10,https://cdn.pokedb.org/b0e1d28a0a4b21b01014e76066a012fb04350a499e0965351e62422499d4514a,8,0.6m,"1'12""",8.5kg,18.74lbs,66,,94,0,0,0,0,0,1,https://cdn.pokedb.org/f0d6d16a2d8797971a6d024958caceabff3d1674d73aa79e806d481c4a238b7c,https://cdn.pokedb.org/f0d6d16a2d8797971a6d024958caceabff3d1674d73aa79e806d481c4a238b7cw40h40,https://cdn.pokedb.org/f0d6d16a2d8797971a6d024958caceabff3d1674d73aa79e806d481c4a238b7cw70h70,https://cdn.pokedb.org/f0d6d16a2d8797971a6d024958caceabff3d1674d73aa79e806d481c4a238b7cw100h100,https://cdn.pokedb.org/86edc0eaad7237e30132aee7f383a0c61f9ce95bb1efa5a7b4b6c2b70a014583,https://cdn.pokedb.org/86edc0eaad7237e30132aee7f383a0c61f9ce95bb1efa5a7b4b6c2b70a014583w40h40,https://cdn.pokedb.org/70f2a3d5528a28057c5c43a7b1733a02879616874b22c65a00e4a0c75eea8f44,39,52,43,60,50,65,309,62,true,true,3403,true,false,false,false,false,false,false,false,false,kanto
7,5,charmeleon-default,Default Form,10,,Flame Pokémon,10,https://cdn.pokedb.org/779bdbed9875eb824733471e966e2cb0742aa735e50659051738b87287162310,8,1.1m,"3'7""",19kg,41.89lbs,66,,94,0,0,0,1,0,1,https://cdn.pokedb.org/c6c4ab955ac08a59d786d43bbb376934cfbcc2d45706cacfbd54dee3422ac44b,https://cdn.pokedb.org/c6c4ab955ac08a59d786d43bbb376934cfbcc2d45706cacfbd54dee3422ac44bw40h40,https://cdn.pokedb.org/c6c4ab955ac08a59d786d43bbb376934cfbcc2d45706cacfbd54dee3422ac44bw70h70,https://cdn.pokedb.org/c6c4ab955ac08a59d786d43bbb376934cfbcc2d45706cacfbd54dee3422ac44bw100h100,https://cdn.pokedb.org/7b4df75c4f6b5f915d4ab23ffe5d0fdecd260a6c4986fb9cc3499801caeb1a77,https://cdn.pokedb.org/7b4df75c4f6b5f915d4ab23ffe5d0fdecd260a6c4986fb9cc3499801caeb1a77w40h40,https://cdn.pokedb.org/a200a8c9e00b8a36108ecb5134ec7876566dfa15915cc3c1c53e5431b6f919ef,58,64,58,80,65,80,405,142,true,true,3403,false,false,false,false,false,false,false,false,false,kanto
8,6,charizard-default,Default Form,10,3,Flame Pokémon,10,https://cdn.pokedb.org/f0e20120e777ffc2205f0172f06b00869dd71bb67fd2ba5140c8fcf411cf7fe3,8,1.7m,"5'7""",90.5kg,199.52lbs,66,,94,0,0,0,3,0,0,https://cdn.pokedb.org/2efdf1425f0fc5e479c33734c4553c739e3ca0441c60f4cccea6a3848e9d6186,https://cdn.pokedb.org/2efdf1425f0fc5e479c33734c4553c739e3ca0441c60f4cccea6a3848e9d6186w40h40,https://cdn.pokedb.org/2efdf1425f0fc5e479c33734c4553c739e3ca0441c60f4cccea6a3848e9d6186w70h70,https://cdn.pokedb.org/2efdf1425f0fc5e479c33734c4553c739e3ca0441c60f4cccea6a3848e9d6186w100h100,https://cdn.pokedb.org/809f67c9aef15d879f926650bc1c54dd505a2e5b4c8acd32a7340c69adc562fb,https://cdn.pokedb.org/809f67c9aef15d879f926650bc1c54dd505a2e5b4c8acd32a7340c69adc562fbw40h40,https://cdn.pokedb.org/786110f8ccf5ed32fc7e0e9bf1008743379bd4aec392090cd340cb81bc8aa122,78,84,78,109,85,100,534,267,true,true,3406,false,false,false,false,false,false,false,false,false,kanto
9,6,charizard-mega-evolution-x,Mega Evolution X,10,16,Flame Pokémon,10,https://cdn.pokedb.org/f0e20120e777ffc2205f0172f06b00869dd71bb67fd2ba5140c8fcf411cf7fe3,1,1.7m,"5'7""",110.5kg,243.61lbs,181,,,0,0,0,3,0,0,https://cdn.pokedb.org/6323ba9391cc890e75a6de682833c464b8f8f4789456365c712c79697f3405a2,https://cdn.pokedb.org/6323ba9391cc890e75a6de682833c464b8f8f4789456365c712c79697f3405a2w40h40,https://cdn.pokedb.org/6323ba9391cc890e75a6de682833c464b8f8f4789456365c712c79697f3405a2w70h70,https://cdn.pokedb.org/6323ba9391cc890e75a6de682833c464b8f8f4789456365c712c79697f3405a2w100h100,https://cdn.pokedb.org/d228809c2989458aa70bcc2f8fd05c2184941ab159cb822e2c3a7ab8ba005318,https://cdn.pokedb.org/d228809c2989458aa70bcc2f8fd05c2184941ab159cb822e2c3a7ab8ba005318w40h40,https://cdn.pokedb.org/dff7e504e375b113c591128e6fb96f3a7d4584399756bd4c4917665afd1de868,78,130,111,130,85,100,634,285,false,true,3418,false,false,true,false,false,false,false,false,false,kanto
10,6,charizard-mega-evolution-y,Mega Evolution Y,10,3,Flame Pokémon,10,https://cdn.pokedb.org/f0e20120e777ffc2205f0172f06b00869dd71bb67fd2ba5140c8fcf411cf7fe3,8,1.7m,"5'7""",100.5kg,221.56lbs,70,,,0,0,0,3,0,0,https://cdn.pokedb.org/5427fb98fb2137ca06b6ccd648cdd714de13150555b0187f9a23cfca2782d0dc,https://cdn.pokedb.org/5427fb98fb2137ca06b6ccd648cdd714de13150555b0187f9a23cfca2782d0dcw40h40,https://cdn.pokedb.org/5427fb98fb2137ca06b6ccd648cdd714de13150555b0187f9a23cfca2782d0dcw70h70,https://cdn.pokedb.org/5427fb98fb2137ca06b6ccd648cdd714de13150555b0187f9a23cfca2782d0dcw100h100,https://cdn.pokedb.org/99882c2b787e7eee79577c2bcd76a0b26a33a18cd01be1d00ca6507e4275d96c,https://cdn.pokedb.org/99882c2b787e7eee79577c2bcd76a0b26a33a18cd01be1d00ca6507e4275d96cw40h40,https://cdn.pokedb.org/d5f19cfed5ed24fe0a1884485b441fd38236a3c0bd072d8553d597241c5fbd77,78,104,78,159,115,100,634,285,false,true,3406,false,false,true,false,false,false,false,false,false,kanto
