pokemon_form_identifier,version_identifier,type,note,image_path,image_path_20,image_path_40,image_path_70,image_path_100
bulbasaur-default,lets-go-pikachu-lets-go-eevee,front-normal,,https://cdn.pokedb.org/6ddb350f1835a58835aa42c4d7a8146adad43f02bd959e61ec504d581ae27f0e,https://cdn.pokedb.org/6ddb350f1835a58835aa42c4d7a8146adad43f02bd959e61ec504d581ae27f0ew20h20,https://cdn.pokedb.org/6ddb350f1835a58835aa42c4d7a8146adad43f02bd959e61ec504d581ae27f0ew40h40,https://cdn.pokedb.org/6ddb350f1835a58835aa42c4d7a8146adad43f02bd959e61ec504d581ae27f0ew70h70,https://cdn.pokedb.org/6ddb350f1835a58835aa42c4d7a8146adad43f02bd959e61ec504d581ae27f0ew100h100
bulbasaur-default,sword-shield,front-shiny,,https://cdn.pokedb.org/6ba9e0183cec1fe0cc8cc6aba0c21634be073edd66244a0a3eb1cb921e1dd704,https://cdn.pokedb.org/6ba9e0183cec1fe0cc8cc6aba0c21634be073edd66244a0a3eb1cb921e1dd704w20h20,https://cdn.pokedb.org/6ba9e0183cec1fe0cc8cc6aba0c21634be073edd66244a0a3eb1cb921e1dd704w40h40,https://cdn.pokedb.org/6ba9e0183cec1fe0cc8cc6aba0c21634be073edd66244a0a3eb1cb921e1dd704w70h70,https://cdn.pokedb.org/6ba9e0183cec1fe0cc8cc6aba0c21634be073edd66244a0a3eb1cb921e1dd704w100h100
bulbasaur-default,battle-revolution,front-normal,,https://cdn.pokedb.org/12bfadbfd817dd101bcbb4de4fbafe9f650d46075a86879b31f71201ec740740,https://cdn.pokedb.org/12bfadbfd817dd101bcbb4de4fbafe9f650d46075a86879b31f71201ec740740w20h20,https://cdn.pokedb.org/12bfadbfd817dd101bcbb4de4fbafe9f650d46075a86879b31f71201ec740740w40h40,https://cdn.pokedb.org/12bfadbfd817dd101bcbb4de4fbafe9f650d46075a86879b31f71201ec740740w70h70,https://cdn.pokedb.org/12bfadbfd817dd101bcbb4de4fbafe9f650d46075a86879b31f71201ec740740w100h100
bulbasaur-default,black-white,front-normal,,https://cdn.pokedb.org/0ae7927dfcee9161729f03dc6dcba067e78ba81e7e3b35711fcdec4b601fc6de,https://cdn.pokedb.org/0ae7927dfcee9161729f03dc6dcba067e78ba81e7e3b35711fcdec4b601fc6dew20h20,https://cdn.pokedb.org/0ae7927dfcee9161729f03dc6dcba067e78ba81e7e3b35711fcdec4b601fc6dew40h40,https://cdn.pokedb.org/0ae7927dfcee9161729f03dc6dcba067e78ba81e7e3b35711fcdec4b601fc6dew70h70,https://cdn.pokedb.org/0ae7927dfcee9161729f03dc6dcba067e78ba81e7e3b35711fcdec4b601fc6dew100h100
bulbasaur-default,black-white,back-shiny,,https://cdn.pokedb.org/b947867040076d27a9b11989304ce0e4056c91d80107bbad185c816b11bef36c,https://cdn.pokedb.org/b947867040076d27a9b11989304ce0e4056c91d80107bbad185c816b11bef36cw20h20,https://cdn.pokedb.org/b947867040076d27a9b11989304ce0e4056c91d80107bbad185c816b11bef36cw40h40,https://cdn.pokedb.org/b947867040076d27a9b11989304ce0e4056c91d80107bbad185c816b11bef36cw70h70,https://cdn.pokedb.org/b947867040076d27a9b11989304ce0e4056c91d80107bbad185c816b11bef36cw100h100
bulbasaur-default,black-white,front-shiny,,https://cdn.pokedb.org/7dab0476726f1e6c2cd0fa4cc7c9adcab8dc8a80e4a3f3fd27124851c3fe461b,https://cdn.pokedb.org/7dab0476726f1e6c2cd0fa4cc7c9adcab8dc8a80e4a3f3fd27124851c3fe461bw20h20,https://cdn.pokedb.org/7dab0476726f1e6c2cd0fa4cc7c9adcab8dc8a80e4a3f3fd27124851c3fe461bw40h40,https://cdn.pokedb.org/7dab0476726f1e6c2cd0fa4cc7c9adcab8dc8a80e4a3f3fd27124851c3fe461bw70h70,https://cdn.pokedb.org/7dab0476726f1e6c2cd0fa4cc7c9adcab8dc8a80e4a3f3fd27124851c3fe461bw100h100
bulbasaur-default,colosseum,front-normal,,https://cdn.pokedb.org/614377a2fc3df608277cb6cff7986b656bda7db0681bbe469f3356a4a80f69f3,https://cdn.pokedb.org/614377a2fc3df608277cb6cff7986b656bda7db0681bbe469f3356a4a80f69f3w20h20,https://cdn.pokedb.org/614377a2fc3df608277cb6cff7986b656bda7db0681bbe469f3356a4a80f69f3w40h40,https://cdn.pokedb.org/614377a2fc3df608277cb6cff7986b656bda7db0681bbe469f3356a4a80f69f3w70h70,https://cdn.pokedb.org/614377a2fc3df608277cb6cff7986b656bda7db0681bbe469f3356a4a80f69f3w100h100
bulbasaur-default,crystal,front-normal,,https://cdn.pokedb.org/d1af042a4090b7ee6c099809343d3ea83bc48ee4eb4f4b4c0fbae9f4c08307d0,https://cdn.pokedb.org/d1af042a4090b7ee6c099809343d3ea83bc48ee4eb4f4b4c0fbae9f4c08307d0w20h20,https://cdn.pokedb.org/d1af042a4090b7ee6c099809343d3ea83bc48ee4eb4f4b4c0fbae9f4c08307d0w40h40,https://cdn.pokedb.org/d1af042a4090b7ee6c099809343d3ea83bc48ee4eb4f4b4c0fbae9f4c08307d0w70h70,https://cdn.pokedb.org/d1af042a4090b7ee6c099809343d3ea83bc48ee4eb4f4b4c0fbae9f4c08307d0w100h100
bulbasaur-default,crystal,front-shiny,,https://cdn.pokedb.org/bc1826700023430531ed8dc59d0b124f29f67bdff7a1074b61ffd9429087635e,https://cdn.pokedb.org/bc1826700023430531ed8dc59d0b124f29f67bdff7a1074b61ffd9429087635ew20h20,https://cdn.pokedb.org/bc1826700023430531ed8dc59d0b124f29f67bdff7a1074b61ffd9429087635ew40h40,https://cdn.pokedb.org/bc1826700023430531ed8dc59d0b124f29f67bdff7a1074b61ffd9429087635ew70h70,https://cdn.pokedb.org/bc1826700023430531ed8dc59d0b124f29f67bdff7a1074b61ffd9429087635ew100h100
bulbasaur-default,diamond-pearl,front-normal,,https://cdn.pokedb.org/8a1fe06eef9decd1d5d08540e36a40cf76c5fec961a027cd9cd1abde8c383e8c,https://cdn.pokedb.org/8a1fe06eef9decd1d5d08540e36a40cf76c5fec961a027cd9cd1abde8c383e8cw20h20,https://cdn.pokedb.org/8a1fe06eef9decd1d5d08540e36a40cf76c5fec961a027cd9cd1abde8c383e8cw40h40,https://cdn.pokedb.org/8a1fe06eef9decd1d5d08540e36a40cf76c5fec961a027cd9cd1abde8c383e8cw70h70,https://cdn.pokedb.org/8a1fe06eef9decd1d5d08540e36a40cf76c5fec961a027cd9cd1abde8c383e8cw100h100
