region_area_identifier,version_identifier,type,image
alola,sun-moon,Overworld Map,https://cdn.pokedb.org/0009b394a3649ce1370dbb0ef70654db2cdb8001fee898fba2611216febda062
alola,sun-moon,Artwork,https://cdn.pokedb.org/b3b572a59d392f2a290f76b9b43eb9c388d5a2c0405be21a1eea2054fd0c1fe7
alola,ultra-sun-ultra-moon,Artwork,https://cdn.pokedb.org/dcdf9da7b6cc02e8ebf8d2cc36681f8f10cd03a2a24d5c5a32b6f836d03e873c
alola,ultra-sun-ultra-moon,Overworld Map,https://cdn.pokedb.org/6c6695831eaa0f316962a484d7881f0eb96a8c1a87c853679ce9461daaca5b89
alola,,Pokémon Masters EX Mindscape,https://cdn.pokedb.org/522bc2fc71176834d9ca2d95e4f80935a62115467c1f28caf77e51e77c3313cf
blueberry-academy,scarlet-violet,Town Map,https://cdn.pokedb.org/d867b7598daca28bd261544abd1666069d5a0ecbd1ae8fc5ecbb700dfdb8dd7c
galar,sword-shield,Artwork,https://cdn.pokedb.org/8786c907cbf67e3423d2d25adabc37c47a9ccbb4f805b34a309c3e31e3290b2f
galar,sword-shield,Artwork (The Isle of Armor),https://cdn.pokedb.org/f3ae20f5eac57cccc660c1755e21a5022f5c42699d62abfdfc3ddc50467fc128
galar,sword-shield,Artwork (The Crown Tundra),https://cdn.pokedb.org/9d9b059561082604065df90c953ab748ad3de35ae6d0402af0961a4db0327dae
galar,,Pokémon Masters EX Mindscape,https://cdn.pokedb.org/4a151d6e3f02b276cd4a9963ecebd706d1687dbd1b8c9a727cd12fc50fc36f50
hisui,legends-arceus,Town Map,https://cdn.pokedb.org/7dd09bf699b693dbdf5551e7f105f19a189267268a00c0357062102722cc8fbc
hisui,legends-arceus,Artwork,https://cdn.pokedb.org/e65e14af7fe37e75e720c764412b502b8a3c855b2b4f78b99418c0a220e2c0c8
hoenn,emerald,Artwork,https://cdn.pokedb.org/31fa8f121b60fa74f842705c211c68b5bd7ae669ff9e22c5d1c42152c99ee0b1
hoenn,omega-ruby-alpha-sapphire,Town Map with no markers,https://cdn.pokedb.org/92e98d9832382512aee72abf1cb686c6d7249dcf0055c3d81478dc45177daf08
hoenn,omega-ruby-alpha-sapphire,Town Map,https://cdn.pokedb.org/f3b39e1857134b5a9224049c536f33c941d0242e7deab79f7ffc9ccdc5858c05
hoenn,omega-ruby-alpha-sapphire,While Soaring,https://cdn.pokedb.org/3fc2fc1898747137e7d4f153ce7669587b393224853801149bd24b684a0ec546
hoenn,omega-ruby-alpha-sapphire,Artwork,https://cdn.pokedb.org/6b3f885fed993009606c9686a3bf391942773b6ef7a4c87612b95abcfe96f2ce
hoenn,ruby-sapphire,Town Map,https://cdn.pokedb.org/489bfbf9c7c0027ad5f1d4621d45df8e97d6ac5f3a5f64c84360ad484e429699
hoenn,ruby-sapphire,Artwork,https://cdn.pokedb.org/b64d1fc255570fe0a830b917cfd09c203cf0a88dc41891267ff0ad783b5af39d
hoenn,,From the anime,https://cdn.pokedb.org/71aedb710a615ca6cc494462ad88551ee8a719a95c19b7548bfb9d9b3e6acf52
hoenn,,Pokémon Masters EX Mindscape,https://cdn.pokedb.org/6ac385c01d1afe939b3ba4f8e8c1477bcbf823601bc1836d0e4e5bafad5d400a
hoenn,,Wallpaper (Daisuki Club),https://cdn.pokedb.org/16744609972f07ce398a76807ae949f1bfcb6bd990db644e764090b6efcfead7
johto,crystal,Town Map,https://cdn.pokedb.org/953e21395ee2f5a9a41085a8ef809dd047e1b02c6faae9dbeade656920f97c65
johto,gold-silver,Town Map,https://cdn.pokedb.org/ddd7c4acfa936a9dd1713c119e87e6342543b3b010e83bb82b70bce2dc701ff0
johto,gold-silver,Overworld Map,https://cdn.pokedb.org/ac76e6a785191b17ff1d838d9f4b2aa130cac582dec3e5264ed9cb4f6b3f4abf
