status_condition_id,generation_id,image_path
1,1,https://cdn.pokedb.org/5d829fa26e1392aabcfb41a7e0f2254b6705bc1c18b8ba6825f064ab9acae44c
1,2,https://cdn.pokedb.org/cff5bd57cec7b4760a3aa54cdc4d43dfa518fc8f6d838e55d39cadf17b3a963e
1,3,https://cdn.pokedb.org/485667436d60e38419cf0349c14aac2f86ffec0b5df3c82276f06805fb063b07
1,4,https://cdn.pokedb.org/091533868d20a98f2281d8115b4d940c3d75188f27c6b2fcca9e778eaa8d43bf
1,5,https://cdn.pokedb.org/64cdb68811c9777bf66d3776c7179c30012d7fd664893c566293183815c4105e
1,6,https://cdn.pokedb.org/268a72e0a8f8618390fd6a2528da85a4920093f219ad384e50dd2069acc82f90
1,7,https://cdn.pokedb.org/4eb3cc3e707429a7fe8fe6bcc80aefec1a27fd5621a1dc43df3acb4303b202d9
1,8,https://cdn.pokedb.org/3fda840521d325b5ab3937ed219d7ab8d297ebbb081fff3e913fef530d299b70
1,9,https://cdn.pokedb.org/e9fe071f6412ec95629bc99a97032de8986350c9517fdf6da21f01a31e1fd59f
2,1,https://cdn.pokedb.org/1a5c12141ad69abeab21aecb89bec6a49cf00d341ab66082892dccd5145e5831
2,2,https://cdn.pokedb.org/dfa663b336292db4d11b415ff9e775f9e9b1ada2cd76f6a1d728ad6510fdaa5b
2,3,https://cdn.pokedb.org/a49dd832f111e8113164a6a4e53549d1a6ea835e73a4afca8732d7318e5a57bb
2,4,https://cdn.pokedb.org/a277d92af3863151e5afa291f8ab55b1056d72b29e8fe79f2fb87e0f7653a8e5
2,5,https://cdn.pokedb.org/2de4c3b01d161df6e134d82f8f0d1564ff5a8e10a67914415b0e4e630bcc6804
2,6,https://cdn.pokedb.org/e2714f00b741eb919e6ce679110c8c81dac9af2f32e4fc49263cf6d66b8e2375
2,7,https://cdn.pokedb.org/e564f57d822dcd2f1739545a03950a9cf7fab3ca9cfb51e873eb1c0faec308a4
2,8,https://cdn.pokedb.org/ac710a48d5934fe65e524ac25fa534a87231b68ce914e2d7dc09e64b786d04c6
3,1,https://cdn.pokedb.org/eb7df58292245e5e42d1f4e43fb6f09abcfa7f2ea35b2dbb86517514989dac9b
3,2,https://cdn.pokedb.org/2bb4434ee2d8203b8fbc4b4460da9679d41b42014e24833f6c80a567ec04f8fc
3,3,https://cdn.pokedb.org/b87294af24221670d14c0a55cfb78389ff3ae0e9c4be28ff3b830d89b5ef81da
3,4,https://cdn.pokedb.org/4a280d566dee8bac442aa30411d197a0e71e427875eb7535e4b6ea9404e75f61
3,5,https://cdn.pokedb.org/543f62da7ab908482698e6f73b62572e3a4cfab8dd0a8bb27c7114367769bed6
3,6,https://cdn.pokedb.org/2f5afbb902b3f9b456a7c767e40a2a402f8a06bea33b57724c354b0de671f999
3,7,https://cdn.pokedb.org/8c194cac0d9ee1472b9b34bd723d7937dd644b4e13e429cb6cc1ea889a2daf06
3,8,https://cdn.pokedb.org/e48c715fedcf8a5ba3db55b6f2635da7ff7e02ebae85df46dc8cb0c59812c239
3,9,https://cdn.pokedb.org/500848b259cdd9ed4868c8397315b66a4101e4742e7b9124c4e994eff2b71ce1
4,1,https://cdn.pokedb.org/e9fc6740a25bcca20a9ecfcab06fb64c25941c6d86564b247e8d7723835939b1
4,2,https://cdn.pokedb.org/08a664f27a92f9b1c935e3d3e679d5aaeb1b3bf2c945c4851c5891393635a2d9
4,3,https://cdn.pokedb.org/00f38c24f7761cf12fd693a6bb35901831f2a0a3ed35e7b6fb2f1b4546993143
4,4,https://cdn.pokedb.org/ff1482955df0fc5e3b696e8bf069e340dd9272e165389af7c0f653547de78092
4,5,https://cdn.pokedb.org/e4aed78b01dcff8f40c68ef3b0f613cd1ed0658628d78f63a29153d84e2dca25
4,8,https://cdn.pokedb.org/efe13829dcdd12fe2f4623e29b3de55f1c6da5ac605fd394e4af1b2f543585d1
4,9,https://cdn.pokedb.org/ae1158d281c8650a44953c5ba1cf17a21ae9791c70a0257c5b0e96fc18acf99e
5,1,https://cdn.pokedb.org/7c23472f77537d26fac6210b16a2e324ffdfed53099af763fc05d1b864c39475
5,2,https://cdn.pokedb.org/936d977d6cbc2d97841956ba717a3b3cb104aaea17bce51bde481d7ea3fbc8f4
5,3,https://cdn.pokedb.org/80e843cd9b35896e44421fab2c210745c35c6b9d0463d8a4e1956769a726bdfe
5,4,https://cdn.pokedb.org/ca1faf715d2d5aafd51b9fbbb8d0203a68e917a2c98b13b10fd6c8bcc04edf93
5,5,https://cdn.pokedb.org/21a0def4bd8a14ceff2b5bf774b8a53a00041f806f679715a6a9884ee4ade4b9
5,6,https://cdn.pokedb.org/414ef8a79fdcaefc966e9e5f63698c2b2334d20e1b09aac76b7b8f0c61dab4ed
5,7,https://cdn.pokedb.org/39bc6ba1c5b39579f148d4f2b3f44b44c47c9404aab84485a879a67b96eeb8dc
5,8,https://cdn.pokedb.org/e4ae156ebd5f20f1318015cfdd82739887293670c8df5be78f26665d834ff21f
39,1,https://cdn.pokedb.org/a28431681e44ee4d3646e327e8b76bdec4f0c57f8c6c2cfd57b20a8850f1bb39
39,2,https://cdn.pokedb.org/21dadb347d52b1e785d66b825acbfcf35e35082b0b1e90fcf82a791b140db539
39,3,https://cdn.pokedb.org/c349e80c19d0c802c80abb2eacb7da19aa33854d688f4e8fec0187c072bb5d2e
39,4,https://cdn.pokedb.org/c94450a2706bb3c27ba178974cc954579523dcb3e29b0369f34df53bc20b9bd4
39,5,https://cdn.pokedb.org/9fe82f781f77b4e63c7b2310e42f2e1d376a35b1f7da6071a8c6ad8c889c9240
39,6,https://cdn.pokedb.org/a163425754faab3040e6f48ec62f46cc2ef268f9925f2f3a09a3a804ff68ead0
39,7,https://cdn.pokedb.org/1de3e444d1e344402333db7a4d3db49dfcbffd8c68eb6a33932b7e425469f97d
39,8,https://cdn.pokedb.org/4e3f01433ff3441eceefec98d71d5adc2cbf3d9374800b3eb1c765590dd9485a
