id,identifier,name,type,generation_id,image_path,own_entry,name_jp,name_jp_romanized,name_cn_trad,name_cn_simp,name_cn_canto,name_cn_mandarin,name_finnish,name_french,name_german,name_italian,name_korean,name_korean_romanized,name_polish,name_portuguese,name_russian,name_russian_romanized,name_spanish,name_thai,name_vietnamese,name_swedish,name_danish,name_norwegian,name_dutch
1,burn,Burn,non-volatile,1,https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa,true,やけど,Yakedo,灼傷,灼伤,Jeuksēung,Zhuóshāng,Polte,Brûlure,Verbrennung,Scottato,화상,Hwasang,Oparzenie,Queimado,Подожжённый,Podozhzhyonnyy,Quemado,ไหม้,Bỏng,,,,
2,freeze,Freeze,non-volatile,1,https://cdn.pokedb.org/7908bbfc3cf65d06b49cfa0780d094a19c0e13a869e394469dad11fd7c93ca70,true,凍り,Kōri,冰凍,冰冻,Bīngdung,Bīngdòng,,Gel,Gefroren,Congelato,얼음,Eoreum,,Congelado,Замороженный,Zamorozhenniy,Congelado,,Đóng băng,,,,
3,paralysis,Paralysis,non-volatile,1,https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a,true,まひ,Mahi,麻痺,麻痺,Màhbei,Mábì,Halvaus,Paralysie,Paralysiert,Paralizzato,마비,Mabi,Paraliż,Paralisado,Парализованный,Paralizovannyy,Paralizado,,Tê liệt,Förlamad,Lammet,Lammet,
4,poison,Poison,non-volatile,1,https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705,true,毒,Doku,中毒,中毒,Jungduhk,Zhòngdú,Myrkytys,Empoisonné,Vergiftet,Avvelenato,독,Dok,Zatruty,Envenenado,Отравлен,Otravlen,Envenenado,พิษ,Nhiễm độc,Förgifad,Forgiftet,Forgifet,Vergiftigd
5,sleep,Sleep,non-volatile,1,https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343,true,眠り,Nemuri,睡眠,睡眠,Seuihmìhn,Shuìmián,,Sommeil,Schläft,Addormentato,잠듦,Jamdeum,,Adormecido,Спящий,Spyashchiy,Dormido,หลับ,Ngủ,,,,
6,frostbite,Frostbite,non-volatile,8,https://cdn.pokedb.org/66e73aa67ed756cfd9ba4a118a6072e0b32e8eef2d6cb4ba767b8622d20e3728,false,,,,,,,,,,,,,,,,,,,,,,,
7,badly-poisoned,Badly Poisoned,non-volatile,1,https://cdn.pokedb.org/689da35745a8b5465d42744c56fe9951a7bf4e8f0ad64a7537f8868bcec0b3dc,false,,,,,,,,,,,,,,,,,,,,,,,
8,drowsy-la,Drowsy,non-volatile,8,https://cdn.pokedb.org/c71a1112584df433e24278e568a1b9e64a0df315c8fc83d0d6e7d7d32a695f02,false,,,,,,,,,,,,,,,,,,,,,,,
9,ability-changed,Ability-Changed,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
10,ability-suppressed,Ability-Suppressed,volatile,4,,false,,,,,,,,,,,,,,,,,,,,,,,
11,type-change,Type Change,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
12,transform,Transform,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
13,illusion,Illusion,volatile,5,,false,,,,,,,,,,,,,,,,,,,,,,,
14,bind,Bind,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
15,curse,Curse,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
16,nightmare,Nightmare,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
17,doomed,Doomed,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
18,seeded,Seeded,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
19,salted,Salted,volatile,9,,false,,,,,,,,,,,,,,,,,,,,,,,
20,splinters,Splinters,volatile,8,,false,,,,,,,,,,,,,,,,,,,,,,,
21,identify,Identify,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
22,autotomize,Autotomize,volatile,5,,false,,,,,,,,,,,,,,,,,,,,,,,
23,minimize,Minimize,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
24,tar,Tar,volatile,8,,false,,,,,,,,,,,,,,,,,,,,,,,
25,grounded,Grounded,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
26,levitate,Levitate,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
