type_id,type_of_image,version_identifier,description,image_path
1,icon,,Tera Gem icon,https://cdn.pokedb.org/eda502bac523c202162767f92372ae7570cf6956622ec827373194c14a3d345f
1,icon,sword-shield,,https://cdn.pokedb.org/41a666fbbb28e0c8f979d29c2f31cc729ceb8cadab162c3719ce382617039a70
1,icon,mezastar,,https://cdn.pokedb.org/3d093db0ac98792c87d7999d9e2eac4dc1a64f0e88655a1ec259145e40e86bd4
1,icon,new-snap,,https://cdn.pokedb.org/54bb59f2424cb0e961c5a04a80e71567f4313cb0bfead31b2fab9c813dfe8e21
1,icon,masters-ex,,https://cdn.pokedb.org/34b6545d2cd3104413de1171c360c6801fe323297d3fce6c1e87b78e3c21a290
1,icon,quest,,https://cdn.pokedb.org/dde29f881859a591d33f37aea12e955c80165f4b1e56ccbc9957b558d94d9547
1,icon,home,,https://cdn.pokedb.org/6f14e7121f941d51f9884cfd3158cdf12a409034eb168b15049dc95a20db3bb3
1,icon,ranger,,https://cdn.pokedb.org/3bb12a42edbe3ee9960fd652e953f0530408d8aa91d8bd9d1b2db05d90918d6b
1,icon,rescue-team-dx,,https://cdn.pokedb.org/9cf964fb0a09ca403eb5adbb0e76c78094dff3f87073b5b49d3a1ca7ed834f1c
1,icon,go,,https://cdn.pokedb.org/d52f4a8658f5002abe580f68745625360c11a4767cde14498af4ac4f42ed575f
1,icon,tretta,,https://cdn.pokedb.org/fa4c5144a75a9ab39b7eac5f30bbfbac42768213663ec4b6fd1d47647df20088
1,icon,rumble-rush,,https://cdn.pokedb.org/696ce56501f62c32eb8b216cd5669496a28aeb167b991cd7a4a70341a063bc96
1,icon,battrio,,https://cdn.pokedb.org/6c0050825827757744e462e988800bb765c8f54c7bd492b05a18e91b61f2d1b7
1,icon,sleep,,https://cdn.pokedb.org/44b01ed577c5a29a9c63a94456ef831e5bfb21b09f1f93cbce56d8551a2f41b3
1,icon,brilliant-diamond-shining-pearl,,https://cdn.pokedb.org/063c5fba77ee5168d6b2d93714174741266f1a60de1a3bd39b063c0902e8ed48
1,icon,stadium-jp-website,,https://cdn.pokedb.org/18b5983fbc118e90e2ed8b6b74f1943f2f675504e0538eab59c6e2d02ea4389a
1,name_plate,x-y,,https://cdn.pokedb.org/5a64604e6eb3933945bccbdfbc3960a0ba9714571142f654610f8ef5e748e9e1
1,name_plate,stadium-2,,https://cdn.pokedb.org/b11b14035f6fc6c19b28ebaecaf3d96789e90c898138d359fe36ceb5563bbdcd
1,name_plate,platinum,,https://cdn.pokedb.org/4e03a44edb67ef67b27bdad91027ddcab2bbe311e6d6390e072555ee9d45e9ae
1,name_plate,black-white,,https://cdn.pokedb.org/1b850ea0062377261bb9d592212b1102376f7948321454cfad5b03a9925fb0df
1,name_plate,ruby-sapphire,,https://cdn.pokedb.org/dc3985c489f3ba40dc6f820046b8441462aa5f2c352ff1cdf0ccba0a6fec50d5
1,name_plate,firered-leafgreen,,https://cdn.pokedb.org/c176ef4083f6ddffb8b1ba188a4d05bd01871c5f21ec716adf5802edc892559f
1,name_plate,stadium,,https://cdn.pokedb.org/d5b79ae94d0a06f382a2809f8b02d6664fe6b92c8bfccc4f4e021b19ed155fbb
1,name_plate,battle-revolution,,https://cdn.pokedb.org/d974f2db97afb53a15c5583bb08668cd1cbecca13bde6dfac69ad680890ecded
1,name_plate,colosseum,,https://cdn.pokedb.org/a6aaec89abc672210d9c40c4ae9c33e1f738773493ddb5710f4b077a0634b9bb
1,name_plate,diamond-pearl,,https://cdn.pokedb.org/fe9215204a4c3b62b839cbeea4b92a8878a98ab4aaeb4ed37cb89bd027e98b28
1,name_plate,sun-moon,,https://cdn.pokedb.org/f6744b13ced72854fee1c17584c74eb6d3c4152ffbdcf4c35c32c9cf39e6b545
1,name_plate,xd,,https://cdn.pokedb.org/f52cf466f162f81f52cf1656da8d480b239c37c3b0e68ddb3b02e1bfe93a974a
2,icon,home,,https://cdn.pokedb.org/8e5a40a12e563fad01c204a5eb1151ae6383c38a78f5d14ef965021b2595d5cf
2,icon,sword-shield,,https://cdn.pokedb.org/6b3ea273225d26449a172c15c9ae481a835a3e3182be969626fb2c3cddb0dc72
2,icon,masters-ex,,https://cdn.pokedb.org/0f8ab10ccb3ca3019e2d75a09a09637b146ddfb66d665c3d8297a56aceeab80f
2,icon,mezastar,,https://cdn.pokedb.org/42fb5f61b6c4026eed050b93c4e75ab1cd0c44ae58babc0d1f69aced90df6ee3
2,icon,quest,,https://cdn.pokedb.org/9d9ffe026af5fe7441864d7c1066c9fd6a446af6b43a728e5729e9ca1eddc726
2,icon,ranger,,https://cdn.pokedb.org/1776ddce840e7acbd42fd6ff9e54a3698407496299fa96188b0169bcd5297403
2,icon,stadium-jp-website,,https://cdn.pokedb.org/88467338e18283a4ea5d7e0594d54a3670bbea2ed29c342b6a5040d05dddbf00
2,icon,,TCG icon 1,https://cdn.pokedb.org/194a48ea3a756a3b7380c07b0e4ae01750d14ac9e3d31cdda82add94ba5be809
2,icon,rescue-team-dx,,https://cdn.pokedb.org/f9586caf7c4d8ebe4860ba3556f1774a7ba0f87e35ac933d26a0d39177a7eb84
2,icon,,Tera Gem icon,https://cdn.pokedb.org/7b4d0fce89c07664492d479e70e7bd236f2da6a171a00a54ba3690840641f15e
2,icon,new-snap,,https://cdn.pokedb.org/06fb8d30ce9f79def4009522e7a7c6252ca589187983dc8a6b02231208dc24e2
2,icon,brilliant-diamond-shining-pearl,,https://cdn.pokedb.org/868dbb975572cfeaa656462c0f59ba922f93c27070914b5e4b223572d6474329
2,icon,go,,https://cdn.pokedb.org/868aa1e44c1ab053dd58ecc835804c187f3e35633597a99940a6c8456dbf8f11
2,icon,battrio,,https://cdn.pokedb.org/7b1c9ea0bb50e4535da0b9a308649b967167d872a5ca59149df6c9cfa9798b2d
2,icon,,TCG (GB) icon,https://cdn.pokedb.org/7b679e6fa4b0c2ecb55bfd4b50ad32c0076e318a5b0e8bfffec6856bdc3c5dbe
2,icon,rumble-rush,,https://cdn.pokedb.org/d83e4acbb3805d1a1c5ee715006139c7b7529477ed53bfafd6feccb6ca6e12f6
2,icon,tretta,,https://cdn.pokedb.org/26ffeb697963528e9b7b0a32741669c7ea7ec0e6aa6fbc7fe18edb1873af4787
2,icon,,TCG icon 2,https://cdn.pokedb.org/086efcd98562ae7d1d72a9e957d7836ea9da806693d39cd45bbbc5820e8074e8
2,icon,sleep,,https://cdn.pokedb.org/a841f745590afe61a431eab8f9c3f757bbe66192c5c7d9d2fc8309a8efcb8952
2,name_plate,stadium,,https://cdn.pokedb.org/605ebe06f4931f88ea8f13ce3ab58d4b2731889527562b4cefe5f2590736996a
2,name_plate,x-y,,https://cdn.pokedb.org/6f0528cdf1344c7388369a7d70c097c515652b8e42812994a34e32c47dd7eea8
2,name_plate,xd,,https://cdn.pokedb.org/feffdcebece0e811e0db3090c7eba2854c63c1286d35b2eb97b843cfe7e15aea
2,name_plate,black-white,,https://cdn.pokedb.org/3000e364b7d5b71c433edcbc0c59e0f201ca9666db1772f719cdd3e2cee468d0
2,name_plate,colosseum,,https://cdn.pokedb.org/0474c97d05f279a8a614ccefa1d0796c5250eabb072b562f917ef2c9818c1a90
2,name_plate,stadium-2,,https://cdn.pokedb.org/62dc5730a538ef1767323c769b3527cf1131ccdca6791eb101dc89adac6c4295
2,name_plate,diamond-pearl,,https://cdn.pokedb.org/a927024a81c589f535c7c50f28aecd8cef61fde537e203c78891239d1db5b040
2,name_plate,sun-moon,,https://cdn.pokedb.org/ea7d31efe36ade686305c14fb95e8ad555951e5524d233935225d133d8871f61
