id,name,generation_id,damage_category_id,hex_color,icon_path,alternate_icon_path,name_jp,name_jp_romanized,name_cn_traditional,name_cn_simplified,name_mandarin_romanized,name_cantonese_romanized,name_danish,name_czech,name_dutch,name_finnish,name_fr_fr,name_fr_ca,name_ger,name_greek,name_greek_romanized,name_hebrew,name_hebrew_romanized,name_hindi,name_hungarian,name_indonesian,name_italian,name_korean,name_korean_romanized,name_malay,name_norwegian,name_polish,name_portuguese_br,name_portuguese_pt,name_romanian,name_russian,name_russian_romanized,name_spanish_sp,name_spanish_latam,name_swedish,name_thai,name_thai_romanized,name_turkish,name_vietnamese,name_bulgarian,name_bulgarian_romanized,name_icelandic,name_slovak
1,Normal,1,1,#A1A1A1,https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96,https://cdn.pokedb.org/11f748062597062401cee0710a0056054c13b9641ccc3f296ebb40afd38d2256,ノーマル,Normal,一般,,Yībān,Yātbūn,Normal,Normální,Normaal,Normaali,Normal,,Normal,Φυσιολογικός,Fysiologikós,רגיל,Ragil,नॉर्मल,Normál,Normal,Normale,노말,Normal,Biasa,Normal,Normalny,Normal,Normal,Normal,Нормальный,Normal'nyy,Normal,,Normal,ปกติ,Pakati,Normal,Thường,,,,
2,Fighting,1,1,#F08832,https://cdn.pokedb.org/a6267911df02f96fe84cab10a2af507d0cb3d21186227f0ab2cd8fa2dac066d4,https://cdn.pokedb.org/81491e19d75e270e374d4849adf4c19f0952ea7a4de6f6b81297e885da38e07d,かくとう,Kakutō,格鬥,格斗,Gédòu,Gaakdau,Kamp,Bojový,Vecht,Taistelu,Combat,,Kampf,Μαχητής,Machitís,לחימה,Lekhima,फ़ाइटिंग,Harcos,Petarung,Lotta,격투,Gyeoktu,Berlawan,Kjempende,Walczący,Lutador,Luta,Luptă,Сражение,Srazheniye,Lucha,Pelea,Slagsmål,ต่อสู้,Tosu,Dövüşçü,Giác đấu,,,,
3,Flying,1,1,#8FB8E5,https://cdn.pokedb.org/fab0a4d3718b88e4477c37e89ef56d1eb8b5ebcc591c4a13f2047cc3d7288b3a,https://cdn.pokedb.org/30e4bf6a1fe9978bc4dbe7511e06b2e4af565cb2057ac7a682fe172cf456f3e8,ひこう,Hikou,飛行,飞行,Fēixíng,Fēihàhng,Flyve,Létající,Vliegsoort,Lento,Vol,,Flug,Ιπτάμενος,Iptámenos,מעופף,Meofef,फ़्लाइंग,Repülő,Terbang,Volante,비행,Bihaeng,Terbang,Flyvende,Latający,,Voador,Zbor,Летающий,Letayushchiy,Volador,,Flygande,บิน,Bin,Uçan,Bay,,,,
4,Poison,1,1,#6D4C97,https://cdn.pokedb.org/cbd193ae58f1a8e70b4222af6a57b9db473960fadf1efcaa9965d6a8dbbafc5b,https://cdn.pokedb.org/10fa575f79e0d0a9bc64c28fc17bbfc13c066cd596b45e83d41ed7edc242ff32,どく,Doku,毒,,Dú,Duhk,Gift,Jedovatý,Gif,Myrkky,Poison,,Gift,Δηλητηρίου,Dilitiríou,רעל,Ra'al,पॉइज़न,Méreg,Racun,Veleno,독,Dok,Racun,Gift,Trujący,Venenoso,Veneno,Otravă,Яд,Yad,Veneno,,Gift,พิษ,Phit,Zehir,Độc,,,,
5,Ground,1,1,#89532A,https://cdn.pokedb.org/482346bac5a73b0b3bbcb12b277cc9f16954df1127911bbe69ca10f9825f8096,https://cdn.pokedb.org/8ce6fe8ee509eedb6ec5878e5f18b0985f8d16e0c347fa81c26e2446a5de9243,じめん,Jimen,地面,,Dìmiàn,Deihmín,Jord,Zemní,Grond,Maa,Sol,,Boden,Εδάφους,Edáfous,אדמה,Adama,ज़मीनी,Föld,Tanah,Terra,땅,Ttang,Darat,Grund,Ziemny,Terrestre,Terra,Pământ,Земля,Zemlya,Tierra,,Mark,ดิน,Din,Yer,Đất,,,,
6,Rock,1,1,#ADAA84,https://cdn.pokedb.org/34f84e828d82845b2ec45163214d91bccd96459edc329381349bbf88a31f3297,https://cdn.pokedb.org/dd71169f6f495a9443d01a9a9c1dfc7964223368fd35e9b571a72dcbaa984250,いわ,Iwa,岩石,,Yánshí,Ngàahmsehk,Sten,Kamenný,Steen,Kivi,Roche,,Gestein,Πέτρας,Pétras,סלע,Sela,रॉक,Szikla,Bebatuan,Roccia,바위,Bawi,Batu,Stein,Kamienny,,Pedra,Piatră,Камень,Kamen',Roca,,Sten,หิน,Hin,Kaya,Đá,,,,
7,Bug,1,1,#95A235,https://cdn.pokedb.org/53409a157ce97a970830367f1d5933a7f1b3d074d005a4808161c275b5580fc2,https://cdn.pokedb.org/e14abb30fb5323761039cdaa7bdf9288d2bd8944d48bf9879ba56841224f31d4,むし,Mushi,蟲,虫,Chóng,Chùhng,Kryb,Hmyzí,Insect,Ötökkä,Insecte,,Käfer,Εντόμου,Entómou,חרק,Kherek,बग,Bogár,Serangga,Coleottero,벌레,Beolle,Serangga,Insekt,Robak,Inseto,Insecto,Insectă,Насекомое,Nasekomoye,Insecto,Bicho,Insekt,แมลง,Malaeng,Böcek,Côn trùng,,,,
8,Ghost,1,1,#6C436E,https://cdn.pokedb.org/9466a004c5a0de9f165a87f3d6c7b6137ec1e333d6189b75a629da994fdfcecc,https://cdn.pokedb.org/fc49ea67ca246c284525cfd5ea198334e26f288b95c3c186cacfa6ece71e1ddc,ゴースト,Ghost,幽靈,幽灵,Yōulíng,Yāulìhng,Spøgelse,Duchový,Geest,Kummitus,Spectre,,Geist,Φάντασμα,Fántasma,רוח,Ruakh,घोस्ट,Szellem,Hantu,Spettro,고스트,Ghost,Hantu,Spøkelse,Duch,,Fantasma,Fantomă,Привидение,Privideniye,Fantasma,,Spöke,ผี,Phi,Hayalet,Ma,Призрачни,Prizrachni,,
9,Steel,2,1,#4D3F3F,https://cdn.pokedb.org/e34ae6bf5aa2a8934994ad60980b3aa9be2c19db8d2c5408817b185dc3f4b9d7,https://cdn.pokedb.org/71a661ffdfe7d1fcb9486c50a0cd8a28e3a20abf01edaa5d8ea0e4ab536e7f67,はがね,Hagane,鋼,钢,Gāng,Gong,Stål,Ocelový,Staal,Teräs,Acier,,Stahl,Μετάλλου,Metallou,פלדה,Plada,स्टील,Acél,Logam,Acciaio,강철,Gangcheol,Besi,Stål,Stalowy,Aço,Aço,Oțel,Сталь,Stal',Acero,,Stål,โลหะ,Loha,Çelik,Thép,,,,
10,Fire,1,2,#D33A30,https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731,https://cdn.pokedb.org/1a46ef10fe8fa9a4906644732be4a48527e7e3c72653f5128c7ca3a4244cb5b1,ほのお,Honō,火,,Huǒ,Fó,Ild,Ohnivý,Vuur,Tuli,Feu,,Feuer,Φωτιάς,Fotiás,אש,Esh,फ़ायर,Tűz,Api,Fuoco,불꽃,Bulkkot,Api,Ild,Ognisty,Fogo,Fogo,Foc,Огонь,Ogon',Fuego,,Eld,ไฟ,Fai,Ateş,Lửa,Огнени,Ogneni,Eld,
